no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
SGCD,1.03E-06,1.537269611,1.311404421,-0.229257548,-1.394899933,0.163046017,FALSE,FALSE,,,SPDYE3,6.20E-06,0.131302079,0.070131258,-0.904760245,-3.262421751,0.001104647,TRUE,FALSE,,,SNCG,1.24E-06,0.07128379,0.018134289,1.974853892,4.882389317,1.05E-06,TRUE,TRUE
SREBF2,1.39E-06,0.365842513,0.268897535,-0.444166202,-3.021251943,0.002517318,TRUE,FALSE,,,SPDYE2,8.79E-06,0.166113715,0.08607213,-0.948553109,-1.455862714,0.145430575,TRUE,FALSE,,,TSHZ2,1.78E-06,0.182207115,0.065666594,1.472347764,3.587944254,0.000333296,TRUE,TRUE
GJA1,1.56E-06,1.315956424,1.71763823,0.38431449,4.614753537,3.94E-06,TRUE,TRUE,,,BAALC,1.22E-05,0.411393108,0.292673883,-0.491223615,-3.474646317,0.000511527,TRUE,FALSE,,,ADAMTSL3,1.81E-06,0.163194165,0.053456311,1.610157296,4.359587341,1.30E-05,TRUE,TRUE
MT1E,1.56E-06,0.614624507,0.862066537,0.488093932,5.87396102,4.26E-09,TRUE,TRUE,,,TRMT10B,1.61E-05,0.136650421,0.076118136,-0.844177763,-4.013996327,5.97E-05,TRUE,TRUE,,,PCSK1N,1.84E-06,0.137080811,0.051044827,1.425189974,3.194845091,0.001399059,TRUE,TRUE
TUBB2B,2.32E-06,0.493905617,0.34624769,-0.512430929,-3.475721669,0.000509481,TRUE,FALSE,,,CDH20,1.61E-05,2.683126822,3.26406137,0.282752935,3.364754707,0.000766117,TRUE,FALSE,,,CCK,2.27E-06,0.15826539,0.080546031,0.974460395,4.440992094,8.95E-06,TRUE,TRUE
GPC5,2.32E-06,6.541015553,5.883495532,-0.152841094,-4.071926275,4.66E-05,FALSE,FALSE,,,SMURF2,2.10E-05,0.317703229,0.235350462,-0.43286907,-3.958669782,7.54E-05,TRUE,TRUE,,,UQCRQ,2.28E-06,0.161198622,0.065604647,1.296969498,4.918861442,8.70E-07,TRUE,TRUE
RAPH1,2.49E-06,0.313490167,0.188812995,-0.731462129,-3.299543832,0.000968421,TRUE,FALSE,,,AP000304.12,3.00E-05,0.189527124,0.116446029,-0.702742897,-2.671474837,0.007551873,TRUE,FALSE,,,S100A1,3.75E-06,0.173709657,0.084545607,1.038876269,3.876847444,0.000105819,TRUE,TRUE
COL5A3,2.49E-06,1.513250221,1.208789924,-0.324087022,-2.27666827,0.022806043,TRUE,FALSE,,,CSF1,3.59E-05,0.039863021,0.114932821,1.527667868,4.810211666,1.51E-06,TRUE,TRUE,,,BCAN,4.24E-06,0.332468191,0.195728416,0.764363098,3.968352355,7.24E-05,TRUE,TRUE
SF1,2.55E-06,0.277489756,0.181146689,-0.615276081,-5.150292348,2.60E-07,TRUE,TRUE,,,SREBF2,4.21E-05,0.363731441,0.270575562,-0.426842098,-2.85006065,0.004371089,TRUE,FALSE,,,SERF2,4.94E-06,0.256075033,0.128347797,0.996508068,5.411059286,6.27E-08,TRUE,TRUE
RBFOX1,4.43E-06,0.330620697,0.251500854,-0.394613738,-2.757584607,0.005823014,TRUE,FALSE,,,VSNL1,4.60E-05,0.093656773,0.054077566,-0.792353109,-4.34301466,1.41E-05,TRUE,TRUE,,,SOD1,6.64E-06,0.18602347,0.1090327,0.77072378,5.548029062,2.89E-08,TRUE,TRUE
SLC1A3,5.02E-06,4.873735035,4.302454073,-0.179868028,-5.123149698,3.00E-07,FALSE,FALSE,,,SCUBE3,5.21E-05,0.031057175,0.005136725,-2.596005782,-4.433870996,9.26E-06,TRUE,TRUE,,,CD63,6.93E-06,0.247680628,0.126344043,0.971123395,5.515392066,3.48E-08,TRUE,TRUE
COL27A1,5.02E-06,0.143568848,0.278339676,0.95510383,4.510406043,6.47E-06,TRUE,TRUE,,,GAPDH,5.69E-05,0.632327918,0.508984003,-0.313052606,-3.525156632,0.000423232,TRUE,FALSE,,,TMSB10,8.67E-06,0.102540937,0.047919458,1.097516501,3.752243578,0.000175259,TRUE,TRUE
NEBL,5.02E-06,2.241879079,2.603593402,0.215795698,7.19798376,6.11E-13,FALSE,FALSE,,,ACOT11,5.72E-05,0.715079939,0.59609457,-0.262563299,-3.763384804,0.000167629,TRUE,TRUE,,,CIRBP,1.03E-05,0.193148651,0.417696875,-1.11274475,-6.650556114,2.92E-11,TRUE,TRUE
HLA-A,5.05E-06,0.249556184,0.163743385,-0.607928033,-2.530874167,0.011377866,TRUE,FALSE,,,PREX2,6.17E-05,1.341542971,1.117687897,-0.263375879,-2.110414244,0.034822691,TRUE,FALSE,,,COX5B,1.05E-05,0.156334205,0.074468074,1.069939511,5.274394964,1.33E-07,TRUE,TRUE
PLXNB1,7.04E-06,0.404158961,0.570500495,0.497305303,6.27873176,3.41E-10,TRUE,TRUE,,,ELAVL1,6.17E-05,0.271731667,0.180711483,-0.588494522,-2.984333251,0.002841971,TRUE,FALSE,,,PRDX5,1.28E-05,0.11671961,0.042358893,1.462310193,4.650109987,3.32E-06,TRUE,TRUE
TNIK,7.37E-06,2.808239913,2.450074947,-0.196840312,-2.864312266,0.004179158,FALSE,FALSE,,,RPL13,8.40E-05,0.189661966,0.119471888,-0.666759208,-2.882009972,0.003951472,TRUE,FALSE,,,S100A6,1.97E-05,0.174475395,0.072165896,1.273634492,5.756090376,8.61E-09,TRUE,TRUE
RGS6,8.30E-06,0.120216599,0.23044769,0.938803199,3.633338821,0.000279777,TRUE,TRUE,,,DIO2,9.11E-05,0.103727775,0.052466088,-0.983345113,-4.103364271,4.07E-05,TRUE,TRUE,,,B2M,2.66E-05,0.201694062,0.093060394,1.115929404,5.393203606,6.92E-08,TRUE,TRUE
SCUBE3,1.16E-05,0.031244642,0.006966874,-2.16502548,-4.610892585,4.01E-06,TRUE,TRUE,,,COL5A3,9.11E-05,1.504283011,1.212188382,-0.311462097,-2.13048724,0.033131408,TRUE,FALSE,,,STMN1,4.14E-05,0.102504011,0.048659096,1.074898942,3.198078656,0.001383465,TRUE,TRUE
RERG,1.16E-05,0.431277652,0.314002645,-0.457840249,-3.128770138,0.001755396,TRUE,FALSE,,,BCL2L14,0.000103594,0.071645336,0.034987458,-1.034034949,-3.521947247,0.000428389,TRUE,FALSE,,,HSPA1B,4.28E-05,0.20176197,0.088408274,1.190400978,5.399070693,6.70E-08,TRUE,TRUE
CSF1,1.19E-05,0.04009857,0.115302609,1.523802479,5.018981502,5.19E-07,TRUE,TRUE,,,FBXL7,0.000106294,1.81511963,1.554206714,-0.223886236,-3.047392393,0.002308362,FALSE,FALSE,,,CST3,4.28E-05,2.380737956,1.699592163,0.486220238,5.401336466,6.61E-08,TRUE,TRUE
SUMF1,1.26E-05,0.413010928,0.322204504,-0.358203295,-3.39225902,0.000693189,TRUE,FALSE,,,RPL15,0.000152096,0.132574687,0.069768555,-0.92615649,-4.383471278,1.17E-05,TRUE,TRUE,,,ID1,4.58E-05,0.165034239,0.069316786,1.251488692,3.197279898,0.001387302,TRUE,TRUE
GRIA2,1.26E-05,0.735111109,0.603063016,-0.285653563,-4.874960068,1.09E-06,TRUE,TRUE,,,GRM3,0.000152096,0.731891578,0.576929668,-0.343234492,-2.482443623,0.013048471,TRUE,FALSE,,,DBI,5.50E-05,0.296281706,0.179088219,0.726299111,3.104377584,0.001906798,TRUE,FALSE
ARL17B,1.37E-05,0.292980151,0.209536138,-0.483603848,-1.117191158,0.2639126,TRUE,FALSE,,,TUBA1B,0.000152096,0.171888469,0.122478132,-0.488948576,-3.805678946,0.000141416,TRUE,TRUE,,,DTNA,5.66E-05,4.083276065,4.731523477,-0.212577674,-6.524777897,6.81E-11,FALSE,FALSE
TRMT10B,1.75E-05,0.137458475,0.076323035,-0.848805408,-4.22885187,2.35E-05,TRUE,TRUE,,,MSI2,0.000152096,2.221294116,1.915945698,-0.213343756,-4.176563742,2.96E-05,FALSE,FALSE,,,CHCHD2,5.84E-05,0.168091205,0.094587283,0.829526102,4.31902743,1.57E-05,TRUE,TRUE
JARID2,1.89E-05,0.611708703,0.478024698,-0.355759642,-5.351766068,8.71E-08,TRUE,TRUE,,,NRXN1,0.000153957,5.982591697,5.5288302,-0.11379634,-1.938298195,0.052586852,FALSE,FALSE,,,ATP6V1F,5.84E-05,0.082660253,0.028912312,1.515509792,3.368386479,0.000756095,TRUE,TRUE
CLYBL,1.89E-05,0.45077864,0.328685027,-0.455713421,-3.339850475,0.000838235,TRUE,FALSE,,,SGCD,0.000153957,1.528123846,1.348146428,-0.180784269,-0.436094459,0.662768197,FALSE,FALSE,,,SLC14A1,5.87E-05,0.662960811,1.003134999,-0.597520275,-4.310917402,1.63E-05,TRUE,TRUE
VCAN,1.91E-05,0.143406849,0.238685577,0.734997463,4.525967939,6.01E-06,TRUE,TRUE,,,SUMF1,0.000157332,0.410539283,0.316981389,-0.373122136,-2.907467156,0.003643686,TRUE,FALSE,,,ATP5D,7.07E-05,0.1266737,0.065866078,0.943509469,4.245266843,2.18E-05,TRUE,TRUE
ACOT11,2.26E-05,0.719307483,0.604121644,-0.251769536,-3.434334356,0.000594011,TRUE,FALSE,,,RGS6,0.000157332,0.119503301,0.229540983,0.941701289,2.86789461,0.004132132,TRUE,FALSE,,,TXNIP,7.65E-05,0.106952585,0.236296923,-1.143629487,-2.508002193,0.012141591,TRUE,FALSE
SLCO1C1,2.59E-05,0.525607061,0.425833588,-0.303694908,-4.880439278,1.06E-06,TRUE,TRUE,,,LDHB,0.000167017,0.259802402,0.171938225,-0.595524455,-3.960683156,7.47E-05,TRUE,TRUE,,,CABLES1,7.87E-05,0.710362651,1.021332166,-0.523824513,-3.332794953,0.000859783,TRUE,TRUE
PLEC,2.77E-05,0.267355715,0.403965586,0.595471879,5.2700903,1.36E-07,TRUE,TRUE,,,SYP,0.000178555,0.087127868,0.049681916,-0.810413433,-3.762600917,0.000168155,TRUE,TRUE,,,ID2,9.09E-05,0.753860123,0.573893344,0.393514217,1.396903983,0.162442447,TRUE,FALSE
DIO2,3.11E-05,0.104358145,0.055100344,-0.921409979,-3.832702142,0.000126743,TRUE,TRUE,,,GPRC5B,0.000187511,0.595555474,0.816755482,0.455668336,5.688344049,1.28E-08,TRUE,TRUE,,,PTMS,0.0001103,0.088026998,0.03180595,1.468649401,4.229322053,2.34E-05,TRUE,TRUE
ESRRG,3.45E-05,0.676301705,0.571834257,-0.24206994,-2.181136338,0.029173334,FALSE,FALSE,,,PAMR1,0.000192838,0.781333003,0.648309461,-0.269254928,-0.954230816,0.339966819,TRUE,FALSE,,,AJAP1,0.000120229,0.050481553,0.006847525,2.882101686,2.501383344,0.012370919,TRUE,FALSE
