no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
AFAP1,0.006866957,0.51116598,0.391183938,-0.385944688,-3.529873361,0.000415759,TRUE,TRUE,,,CKB,0.000210514,0.505182417,0.381588697,-0.404785989,-3.721981779,0.000197665,TRUE,TRUE,,,PEBP1,3.27E-06,0.396605549,0.225705423,0.813263779,4.655922522,3.23E-06,TRUE,TRUE
EGR1,0.006866957,0.037222525,0.003408645,-3.448905861,-2.454886349,0.014092914,TRUE,FALSE,,,SOX8,0.00022766,0.267364053,0.490151671,0.874422732,4.52640969,6.00E-06,TRUE,TRUE,,,NDUFA4,3.94E-06,0.256937711,0.168908813,0.605174042,3.151852683,0.001622381,TRUE,FALSE
HLA-A,0.006866957,0.386495842,0.28672829,-0.430768639,-2.026678605,0.042695292,TRUE,FALSE,,,WFDC1,0.000273533,0.176656623,0.096085364,-0.878559236,-3.148265523,0.001642424,TRUE,FALSE,,,RPL7,3.94E-06,0.202694786,0.103874205,0.964471539,4.738892743,2.15E-06,TRUE,TRUE
IFIT1,0.006866957,0.134419798,0.061433717,-1.129643054,-3.025672458,0.002480809,TRUE,TRUE,,,HSPA8,0.000275214,0.170754568,0.107508694,-0.667470843,-2.879129853,0.003987741,TRUE,FALSE,,,PHGDH,4.15E-06,0.165911337,0.101002221,0.716025453,4.610482516,4.02E-06,TRUE,TRUE
FMNL3,0.006866957,0.294153523,0.224516957,-0.389744903,-3.093914348,0.001975345,TRUE,TRUE,,,SYT1,0.000275214,0.296284649,0.216656608,-0.451573636,-2.25150885,0.024353327,TRUE,FALSE,,,ATP6V0E2,4.15E-06,0.291408175,0.172735518,0.754476589,4.903371656,9.42E-07,TRUE,TRUE
GALR1,0.006866957,0.176014716,0.114200299,-0.624129627,-3.082400856,0.002053381,TRUE,TRUE,,,ACAT2,0.000277449,0.099429404,0.034938516,-1.508854233,-2.248990345,0.02451311,TRUE,FALSE,,,TMSB4X,4.15E-06,0.140981222,0.05540593,1.347390713,3.75923275,0.000170435,TRUE,TRUE
SNX9,0.007213228,0.286702918,0.204167788,-0.489801316,-3.480403057,0.00050066,TRUE,TRUE,,,FAM196A,0.00031467,0.180971173,0.099884745,-0.857423643,-3.248830158,0.001158806,TRUE,FALSE,,,UBC,4.41E-06,0.30456399,0.173705552,0.810101513,4.811334926,1.50E-06,TRUE,TRUE
VDAC3,0.007958161,0.252759453,0.17682572,-0.515436914,-2.881322118,0.003960107,TRUE,TRUE,,,DYNLL1,0.000435073,0.295436533,0.194515435,-0.6029636,-2.164488667,0.030426865,TRUE,FALSE,,,DBI,4.42E-06,0.404937682,0.238491926,0.763759477,4.177686674,2.94E-05,TRUE,TRUE
GPR158,0.009538245,0.271586263,0.191453314,-0.504417871,-3.081865907,0.002057075,TRUE,TRUE,,,GALR1,0.000453598,0.17300951,0.10479737,-0.723248834,-2.911517558,0.003596777,TRUE,FALSE,,,TERF2IP,4.67E-06,0.374517801,0.248794701,0.590078531,3.538810586,0.000401934,TRUE,FALSE
RPS6KA2,0.010246905,0.749972581,0.609673733,-0.298800462,-2.856981495,0.004276908,FALSE,FALSE,,,IFIT1,0.000627163,0.132094869,0.057496541,-1.200027352,-2.854037587,0.004316742,TRUE,FALSE,,,RPL21,5.13E-06,0.177561062,0.082133856,1.112266305,4.652382885,3.28E-06,TRUE,TRUE
LRP1B,0.011094216,7.814575449,8.46305077,0.115010325,1.511653144,0.130622124,FALSE,FALSE,,,TUBA1B,0.000627163,0.205945666,0.127826579,-0.688075917,-3.754856278,0.000173441,TRUE,TRUE,,,LAPTM4A,5.36E-06,0.175860561,0.082697175,1.088522026,4.007334243,6.14E-05,TRUE,TRUE
KATNBL1,0.013705286,0.319434933,0.221288636,-0.529592728,-3.677840006,0.000235217,FALSE,FALSE,,,TERF2IP,0.000666844,0.326582992,0.250086709,-0.385021271,-3.044670466,0.002329354,TRUE,FALSE,,,TMSB10,5.36E-06,0.17480596,0.069719299,1.326124403,3.737990531,0.000185497,TRUE,TRUE
