no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
MT3,3.78E-18,0.097955826,0.151073777,0.625050064,2.470744864,0.013483198,TRUE,FALSE,,,SUN2,7.87E-14,0.406303642,0.519133291,0.353546711,4.332304934,1.48E-05,TRUE,TRUE,,,APOD,1.14E-17,0.655663704,0.516689117,0.343659536,4.112240614,3.92E-05,TRUE,TRUE
SNAP25,3.78E-18,0.143157643,0.086324713,-0.729759161,-6.447998991,1.13E-10,TRUE,TRUE,,,HTRA1,1.02E-13,0.18962416,0.259350063,0.451757928,4.799080379,1.59E-06,TRUE,TRUE,,,BTF3,7.92E-17,0.09800936,0.05885954,0.735643264,6.758051104,1.40E-11,TRUE,TRUE
MAP4K5,5.03E-18,0.584722503,0.708286352,0.27658063,6.450576178,1.11E-10,TRUE,TRUE,,,EFHD1,2.09E-13,0.309301349,0.403132638,0.382241465,2.395411481,0.016601722,TRUE,FALSE,,,GSTP1,8.10E-17,0.125652351,0.07911161,0.66747632,6.902881741,5.10E-12,TRUE,TRUE
CPQ,5.39E-18,0.318752734,0.400576127,0.329638727,4.686424665,2.78E-06,TRUE,TRUE,,,QKI,5.97E-13,3.422192021,3.753283266,0.133232464,2.187500914,0.028705977,FALSE,FALSE,,,DCC,8.10E-17,0.255109079,0.147571876,0.789696441,1.232249693,0.217855826,TRUE,FALSE
ANK2,5.90E-18,1.422117859,1.240793168,-0.196778387,-5.698328669,1.21E-08,FALSE,FALSE,,,ANK2,8.92E-13,1.379521684,1.213072635,-0.185502196,-2.955663044,0.003119977,FALSE,FALSE,,,HSPB1,1.39E-16,0.043642864,0.016841972,1.373684725,4.541936855,5.57E-06,TRUE,TRUE
PRKX,1.43E-17,0.043149174,0.079749121,0.886135676,3.104505483,0.001905974,TRUE,FALSE,,,PI16,1.14E-12,0.058994479,0.033555824,-0.814016764,-2.695233284,0.007033937,TRUE,FALSE,,,COX4I1,1.44E-16,0.161362498,0.101944297,0.662524252,6.704976441,2.01E-11,TRUE,TRUE
S100A6,1.63E-17,0.048282076,0.080045553,0.729333537,2.985998548,0.00282654,TRUE,FALSE,,,NRGN,1.80E-12,0.057888296,0.027308,-1.083948009,-4.060664623,4.89E-05,TRUE,TRUE,,,CCK,3.03E-16,0.08947806,0.051157294,0.806594017,1.152764293,0.249007144,TRUE,FALSE
PNISR,4.39E-17,0.474662909,0.569370715,0.262464971,4.530693695,5.88E-06,TRUE,TRUE,,,HSPA1A,1.85E-12,0.306377503,0.143251329,-1.096761848,-0.932730248,0.350959263,TRUE,FALSE,,,HSPA8,3.58E-16,0.109225905,0.066040756,0.725886507,6.453349388,1.09E-10,TRUE,TRUE
KCNH8,5.76E-17,0.974825672,0.817796378,-0.253402573,-7.077560282,1.47E-12,TRUE,TRUE,,,GPM6A,4.75E-12,0.089029643,0.052121185,-0.772415891,-4.033459259,5.50E-05,TRUE,TRUE,,,SERF2,4.87E-16,0.192416712,0.14321684,0.42603297,4.415459747,1.01E-05,TRUE,TRUE
TMEM165,8.65E-17,1.187036253,1.019172721,-0.219965429,-5.453963174,4.93E-08,FALSE,FALSE,,,UBB,5.65E-12,0.272663481,0.187137127,-0.543025676,-3.918449848,8.91E-05,TRUE,TRUE,,,COX5B,5.70E-16,0.150772529,0.100299847,0.58805418,7.166334024,7.70E-13,TRUE,TRUE
SYT1,1.32E-16,0.191857934,0.130516539,-0.555805794,-4.821070083,1.43E-06,TRUE,TRUE,,,PLP1,8.60E-12,4.11516925,4.456636025,0.115003373,1.672600452,0.094405978,FALSE,FALSE,,,ACTB,6.84E-16,0.510713825,0.415116726,0.29899805,4.449208145,8.62E-06,TRUE,TRUE
FCHSD2,2.70E-16,0.563955615,0.661502837,0.23016572,2.520375243,0.011722979,FALSE,FALSE,,,GPRC5B,9.22E-12,0.597951126,0.722586909,0.273143548,5.225072318,1.74E-07,TRUE,TRUE,,,HLA-A,9.79E-16,0.063895654,0.031620515,1.014856945,1.394737144,0.16309512,TRUE,FALSE
METTL7A,5.31E-16,0.061806865,0.095828571,0.632688772,5.414331764,6.15E-08,TRUE,TRUE,,,RAB3A,2.46E-11,0.03283243,0.011446896,-1.520165107,-5.765467817,8.14E-09,TRUE,TRUE,,,CLDN11,1.11E-15,1.768879087,2.106310581,-0.251882746,-5.750437925,8.90E-09,TRUE,TRUE
DPYSL2,5.39E-16,0.437420516,0.52227067,0.255776798,5.511311304,3.56E-08,TRUE,TRUE,,,OR2L13,4.03E-11,0.073585286,0.116720814,0.665572631,2.576006475,0.009994877,TRUE,FALSE,,,DPYSL5,1.23E-15,0.310023645,0.21255961,0.544510762,-0.165786764,0.868324763,TRUE,FALSE
NDRG2,5.91E-16,0.286325448,0.361130858,0.334865801,3.729287895,0.000192022,TRUE,FALSE,,,NTM,4.09E-11,1.031044738,1.250174345,0.278022368,1.421765185,0.15509443,TRUE,FALSE,,,NDUFA4,1.29E-15,0.107306433,0.063768315,0.750824907,5.889908735,3.86E-09,TRUE,TRUE
SLC5A11,1.23E-15,0.770945607,0.623231452,-0.306861035,-3.845296463,0.000120407,TRUE,TRUE,,,CCP110,4.30E-11,0.324027857,0.405074681,0.322070067,4.62177029,3.80E-06,TRUE,TRUE,,,LINGO1,2.24E-15,0.555649159,0.798090254,-0.522377665,-2.902491299,0.003702074,TRUE,FALSE
LAMP1,1.36E-15,0.162107449,0.213198223,0.395245033,6.103379482,1.04E-09,TRUE,TRUE,,,FRY,6.27E-11,0.069109363,0.106262022,0.620672988,3.337061384,0.000846692,TRUE,FALSE,,,HSP90AB1,2.31E-15,0.317059102,0.222538461,0.510697095,5.569022327,2.56E-08,TRUE,TRUE
AMER2,2.59E-15,0.543018889,0.648575662,0.256272504,2.651042421,0.008024376,TRUE,FALSE,,,MT3,6.49E-11,0.095024762,0.143486397,0.594538554,1.739050715,0.082025843,TRUE,FALSE,,,CA2,3.26E-15,0.430767222,0.33966299,0.342804445,5.544232995,2.95E-08,TRUE,TRUE
SUN2,2.86E-15,0.4188432,0.510156481,0.284529584,4.326472974,1.52E-05,TRUE,TRUE,,,PDE4B,6.92E-11,2.631249769,2.415618342,-0.123355669,-2.93590709,0.003325739,FALSE,FALSE,,,PLA2G16,3.82E-15,0.581381582,0.472900607,0.297948374,6.129956027,8.79E-10,TRUE,TRUE
PDE4B,3.78E-15,2.712465932,2.464484879,-0.138318889,-2.675444982,0.007463012,FALSE,FALSE,,,RDX,1.22E-10,0.352340129,0.432516258,0.295785568,5.592171039,2.24E-08,TRUE,TRUE,,,RPL7,4.69E-15,0.134115419,0.088163675,0.60521883,7.153031443,8.49E-13,TRUE,TRUE
APOD,4.54E-15,0.480013215,0.558155573,0.21759317,4.019249105,5.84E-05,FALSE,FALSE,,,MYO10,1.22E-10,0.057393753,0.090608538,0.658753281,4.562510152,5.05E-06,TRUE,TRUE,,,TMPRSS5,7.36E-15,0.067772466,0.027833604,1.283871537,1.135970069,0.255969091,TRUE,FALSE
HP1BP3,4.96E-15,0.230027924,0.293676232,0.352417502,4.455991134,8.35E-06,TRUE,TRUE,,,CNTNAP2,1.27E-10,0.963637017,0.831221169,-0.213257417,-3.049082819,0.002295412,FALSE,FALSE,,,RPS15,8.31E-15,0.341939808,0.253943402,0.429235398,6.814196101,9.48E-12,TRUE,TRUE
LAMP2,7.42E-15,0.678142203,0.788217012,0.217005056,4.503148651,6.70E-06,FALSE,FALSE,,,RNF220,1.48E-10,2.723529792,2.505448149,-0.120408967,-4.229179316,2.35E-05,FALSE,FALSE,,,YWHAH,1.02E-14,0.063987845,0.033282206,0.943046816,5.80686892,6.37E-09,TRUE,TRUE
ABCA6,7.90E-15,0.049211309,0.087374953,0.828229877,1.382551027,0.166802574,TRUE,FALSE,,,METTL7A,1.57E-10,0.059953474,0.094285515,0.653192786,3.922327561,8.77E-05,TRUE,TRUE,,,ACTG1,1.34E-14,0.218424914,0.148498412,0.556689922,1.744216672,0.081121315,TRUE,FALSE
RHOBTB3,9.19E-15,0.135588521,0.186920281,0.463188066,5.080717858,3.76E-07,TRUE,TRUE,,,PNISR,1.87E-10,0.460446944,0.558087423,0.277456208,3.118470967,0.001817921,TRUE,FALSE,,,MAML2,1.84E-14,0.302503466,0.22831384,0.40593336,3.134157261,0.001723485,TRUE,FALSE
CSRP1,1.75E-14,0.264893605,0.32304281,0.286312354,4.59513883,4.32E-06,TRUE,TRUE,,,FRMD5,1.88E-10,2.41121914,2.206863486,-0.127765385,-4.094472503,4.23E-05,FALSE,FALSE,,,ADAMTS18,1.93E-13,0.052002155,0.127214853,-1.29062381,-1.558033411,0.119225328,TRUE,FALSE
CCP110,2.46E-14,0.334023273,0.405596129,0.280095257,4.495887224,6.93E-06,TRUE,TRUE,,,MAP4K5,2.39E-10,0.567217191,0.683164167,0.268331047,6.828909087,8.56E-12,TRUE,TRUE,,,RABAC1,1.93E-13,0.121167648,0.083760751,0.532658267,5.149374962,2.61E-07,TRUE,TRUE
PPA1,3.32E-14,0.130967688,0.173078206,0.402213162,5.196987101,2.03E-07,TRUE,TRUE,,,KCNH8,3.00E-10,0.945639082,0.819924668,-0.205798296,-3.872418149,0.000107761,FALSE,FALSE,,,DBI,4.04E-13,0.141090097,0.099110534,0.509506428,7.490689639,6.85E-14,TRUE,TRUE
SEPP1,3.68E-14,0.444872532,0.538555016,0.275701705,4.364489345,1.27E-05,TRUE,TRUE,,,ESRRG,3.03E-10,0.15513487,0.215367125,0.473275039,2.113076993,0.034594179,TRUE,FALSE,,,NDUFB2,5.89E-13,0.079057459,0.045260832,0.804638496,5.912149102,3.38E-09,TRUE,TRUE
