no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
RNF149,0.001150219,0.446678154,0.278070576,-0.683784603,-3.338833198,0.000841311,TRUE,TRUE,,,EPSTI1,0.020524429,0.182011735,0.078933766,-1.205316979,-3.29246901,0.000993118,FALSE,FALSE,,,PYCARD,0.100860104,0.074364761,0.024671304,1.591785167,2.74136922,0.006118371,FALSE,FALSE
SLC1A3,0.001150219,1.454925291,1.786708277,0.296359025,1.765053038,0.077554852,TRUE,FALSE,,,SAT1,0.022284833,0.903946733,0.62014484,-0.543632553,-1.842514522,0.065399924,FALSE,FALSE,,,HSPB1,0.105358901,0.137126474,0.077826346,0.817176598,1.384126544,0.16631971,FALSE,FALSE
SAMD9L,0.001233068,0.122801758,0.056926123,-1.109168468,-4.149682386,3.33E-05,TRUE,TRUE,,,MYADM,0.023121602,0.001223397,0.017712637,3.855814983,NA,NA,FALSE,FALSE,,,RPS16,0.105358901,0.240562567,0.137416914,0.807852581,2.115748805,0.034366177,FALSE,FALSE
NR4A2,0.001593349,0.036985908,0.003984249,-3.214595815,-3.204783462,0.001351641,TRUE,TRUE,,,SNCA,0.023228885,0.130763193,0.244618517,0.903577112,4.118361563,3.82E-05,FALSE,FALSE,,,IFNGR2,0.125276533,0.228049197,0.149456056,0.60962373,3.347397751,0.000815741,FALSE,FALSE
IFNGR1,0.002607709,0.220412221,0.316586385,0.522394996,3.57107578,0.000355518,TRUE,TRUE,,,TUBA4A,0.025047342,0.048590585,0.00747427,-2.700672193,-2.897677612,0.003759368,FALSE,FALSE,,,PRPF40A,0.130264604,0.166623374,0.089677932,0.893765878,2.943793139,0.003242166,FALSE,FALSE
MYO1E,0.002633264,0.126518062,0.207571619,0.714265833,3.440786186,0.000580027,TRUE,TRUE,,,SPARCL1,0.02588623,0.113402481,0.042187973,-1.426548529,-3.234951805,0.001216633,FALSE,FALSE,,,SARAF,0.130264604,0.221598532,0.148413126,0.578329633,1.897332945,0.057784009,FALSE,FALSE
RPL7A,0.002728431,0.062616492,0.129994699,1.053838212,3.303164947,0.000956001,TRUE,TRUE,,,XAF1,0.02588623,0.235057502,0.113554163,-1.049633121,-1.392483012,0.163776182,FALSE,FALSE,,,CADM1,0.130264604,0.051867293,0.025889538,1.002455822,3.135318347,0.001716677,FALSE,FALSE
IFIT3,0.002728431,0.043714076,0.007713826,-2.50257932,-2.006762901,0.044774915,TRUE,FALSE,,,OXR1,0.035399214,0.686563928,0.964720656,0.490717198,2.852681164,0.004335209,FALSE,FALSE,,,MGAT4C,0.130264604,0.019067105,0.003580727,2.412761367,1.694382902,0.090192546,FALSE,FALSE
SLC1A5,0.003369845,0.021438795,0.060175013,1.488940728,3.359873824,0.000779781,TRUE,TRUE,,,SRGN,0.040356078,0.525128371,0.327661918,-0.680462135,-1.449508938,0.147195506,FALSE,FALSE,,,N4BP2L2,0.130264604,0.585057324,0.474444254,0.302339404,1.820164611,0.068733941,FALSE,FALSE
CEBPA,0.003722777,0.026293182,0.073646572,1.485929658,2.242534892,0.024926823,TRUE,FALSE,,,ATRN,0.045157273,0.110175699,0.205907007,0.902186878,3.544748345,0.000392988,FALSE,FALSE,,,DLEU7,0.130264604,0.11300643,0.043924076,1.363321007,3.047301337,0.002309061,FALSE,FALSE
RPS28,0.004299246,0.043388163,0.115672296,1.414669956,3.077966814,0.002084181,TRUE,TRUE,,,PPHLN1,0.045804732,0.078623518,0.14765468,0.909194259,3.479568168,0.000502223,FALSE,FALSE,,,CKB,0.130264604,0.129651019,0.044354004,1.54749728,2.388455257,0.016919368,FALSE,FALSE
RABGAP1L,0.004326715,0.58986482,0.412410225,-0.516304268,-3.935878801,8.29E-05,TRUE,TRUE,,,PDE7A,0.057625289,0.155316338,0.083535093,-0.894755292,-3.355319317,0.000792734,FALSE,FALSE,,,RTTN,0.130264604,0.314173679,0.157595892,0.995332385,1.363441478,0.172743417,FALSE,FALSE
TMBIM6,0.004330565,0.090305926,0.158686416,0.813286068,3.47322368,0.000514247,TRUE,TRUE,,,SHTN1,0.057625289,0.269829814,0.378357533,0.487700406,2.920912074,0.003490083,FALSE,FALSE,,,LIMCH1,0.13620567,0.001229449,0.049564506,-5.333223538,-1.267943356,0.20481818,FALSE,FALSE
TNFRSF1B,0.004434886,0.245857176,0.146170882,-0.750164515,-3.770472146,0.000162939,TRUE,TRUE,,,RGS1,0.064041763,0.170106326,0.087999939,-0.950862357,-1.928727199,0.053764738,FALSE,FALSE,,,PNPLA8,0.13620567,0.044056127,0.014033933,1.650423345,2.494276632,0.012621414,FALSE,FALSE
DTNA,0.00549843,0.170957844,0.23799057,0.477263792,3.720673682,0.000198692,TRUE,TRUE,,,IL17RA,0.072277205,0.15363963,0.243487144,0.664295205,1.639907824,0.101024334,FALSE,FALSE,,,CMTM3,0.13620567,0.087056163,0.036025163,1.272941483,2.825631954,0.004718745,FALSE,FALSE
IFI6,0.005626478,0.053581796,0.010264381,-2.384096237,-2.605085901,0.009185123,TRUE,FALSE,,,STMN1,0.072867521,0.083008374,0.025319829,-1.712989232,-3.178923254,0.001478232,FALSE,FALSE,,,LDLRAD4,0.13620567,0.933307201,1.225315227,-0.392729016,-2.854235536,0.004314053,FALSE,FALSE
RPS2,0.005999869,0.121068747,0.236687494,0.967156988,3.40543768,0.000660581,TRUE,TRUE,,,ZNFX1,0.076448281,0.059212699,0.015560731,-1.927996816,-2.871813111,0.004081243,FALSE,FALSE,,,POU2F2,0.13620567,0.184528186,0.346280947,-0.908101811,-3.295743939,0.000981614,FALSE,FALSE
HS3ST4,0.005999869,0.990021203,1.22581638,0.30821156,1.537601904,0.124145982,TRUE,FALSE,,,PARP14,0.077875463,0.238023965,0.153133433,-0.636317537,-2.069003624,0.038545747,FALSE,FALSE,,,KATNAL2,0.138277847,0.04075982,0.016390672,1.314272624,2.085859282,0.036991372,FALSE,FALSE
RPL28,0.006542281,0.182648969,0.28624708,0.648187366,1.916736097,0.055271467,TRUE,FALSE,,,NR4A2,0.081184891,0.036516426,0.004328319,-3.076666747,-2.592905535,0.009516891,FALSE,FALSE,,,TMEM154,0.149261099,0.023425041,0.006006073,1.963557643,2.147665195,0.031740362,FALSE,FALSE
FCGBP,0.007251139,0.135494682,0.229809271,0.762200777,3.203849387,0.001356034,TRUE,TRUE,,,STMN2,0.084677026,0.038403651,0.009883718,-1.958117773,-2.943247673,0.003247885,FALSE,FALSE,,,SPDYE5,0.149261099,0.059744484,0.021116505,1.500434438,2.732064358,0.006293885,FALSE,FALSE
GPX1,0.008253088,0.119285964,0.212804686,0.835105626,4.239458414,2.24E-05,TRUE,TRUE,,,MCF2L2,0.085596594,0.214537257,0.120570766,-0.83134807,-3.052076229,0.002272644,FALSE,FALSE,,,DYNLL1,0.149261099,0.092380243,0.043896565,1.073476288,2.54739962,0.010852907,FALSE,FALSE
RAD51B,0.00924892,0.437147085,0.323735504,-0.433303184,-4.250975167,2.13E-05,TRUE,TRUE,,,CPSF1,0.085596594,0.006138322,0.024527555,1.998487077,2.539259776,0.01110873,FALSE,FALSE,,,ZBTB40,0.151525684,0.052273541,0.022071387,1.24390359,3.165962079,0.001545709,FALSE,FALSE
CSF1R,0.011357828,0.378673892,0.529686219,0.484182018,1.61371493,0.106589274,FALSE,FALSE,,,FTH1,0.085596594,0.558507675,0.477594008,-0.22579237,-0.977376245,0.328382919,FALSE,FALSE,,,JUN,0.151525684,0.078578009,0.053752813,0.547785357,2.9720292,0.002958385,FALSE,FALSE
OXR1,0.011681464,0.695564422,0.932774789,0.423344655,2.673426111,0.007508081,FALSE,FALSE,,,PGS1,0.085596594,0.05896514,0.016573544,-1.830980187,-3.06852228,0.002151203,FALSE,FALSE,,,CAD,0.151525684,0.018935636,0.003120286,2.601353532,2.450184512,0.014278303,FALSE,FALSE
RNF144B,0.012559836,0.208138401,0.097150925,-1.099243528,-4.062713198,4.85E-05,FALSE,FALSE,,,LRRC4,0.088859234,0.005083949,0.026139204,2.362193745,2.918323235,0.003519193,FALSE,FALSE,,,KIF5C,0.151525684,0.023256002,0.001529123,3.92682714,2.478222874,0.013203864,FALSE,FALSE
PTMA,0.013276724,0.152172526,0.210873219,0.470667975,4.300977979,1.70E-05,FALSE,FALSE,,,NAMPT,0.090359757,0.21035233,0.076882303,-1.452084347,-3.20479475,0.001351588,FALSE,FALSE,,,ELP6,0.151525684,0.027361841,0.001152675,4.5691072,2.386297833,0.017018962,FALSE,FALSE
LPCAT2,0.013276724,0.340009201,0.46737195,0.458997362,3.002255067,0.002679875,FALSE,FALSE,,,SLC1A5,0.092496171,0.021163019,0.052238599,1.303570752,2.032482111,0.042104873,FALSE,FALSE,,,STX7,0.151525684,0.276302258,0.176583906,0.64589349,3.214298104,0.001307638,FALSE,FALSE
ARMC9,0.014242599,0.062629747,0.126927509,1.019084815,1.635822124,0.10187682,FALSE,FALSE,,,MTRNR2L12,0.094398487,0.008711552,0.046494171,2.416048117,3.180175242,0.00147186,FALSE,FALSE,,,TXLNB,0.151525684,0.021226791,0.001974007,3.426687522,1.084594995,0.278101073,FALSE,FALSE
SELPLG,0.014242599,0.059104364,0.129701547,1.133859118,2.717074505,0.006586178,FALSE,FALSE,,,CCDC117,0.094398487,0.007038784,0.035068512,2.31677806,2.861937827,0.004210595,FALSE,FALSE,,,CERCAM,0.151525684,0,0.025543767,#NAME?,-0.101321732,0.919295066,FALSE,FALSE
TREM2,0.015061888,0.059053245,0.11422182,0.95175003,3.850950355,0.00011766,FALSE,FALSE,,,HSPA1B,0.110655202,0.185630027,0.103769027,-0.83905421,-0.74246487,0.457805729,FALSE,FALSE,,,KCNQ1,0.151525684,0.309579848,0.194680975,0.669199658,2.155001225,0.031161738,FALSE,FALSE
