gene_symbol,marker_for,source
ALOX5AP,microgla,OLDHAM EXTENDED
SYK,microgla,OLDHAM EXTENDED
SCXCR1,microgla,OLDHAM EXTENDED
SLC25A5,microgla,OLDHAM EXTENDED
DOCK8,microgla,OLDHAM EXTENDED
SELPLG,microgla,OLDHAM EXTENDED
SUSD3,microgla,OLDHAM EXTENDED
IGSF6,microgla,OLDHAM EXTENDED
HLA-DMA,microgla,OLDHAM EXTENDED
RNASET2,microgla,OLDHAM EXTENDED
TREM2,microgla,OLDHAM EXTENDED
AARGDIB,microgla,OLDHAM EXTENDED
LILRB4,microgla,OLDHAM EXTENDED
GPR34,microgla,OLDHAM EXTENDED
CD68,microgla,OLDHAM EXTENDED
ITGB2,microgla,OLDHAM EXTENDED
HLA-DMB,microgla,OLDHAM EXTENDED
HITGAM,microgla,OLDHAM EXTENDED
CD53,microgla,OLDHAM EXTENDED
ADAP2,microgla,OLDHAM EXTENDED
TLR7,microgla,OLDHAM EXTENDED
PYCARD,microgla,OLDHAM EXTENDED
MYO1F,microgla,OLDHAM EXTENDED
LAT2,microgla,OLDHAM EXTENDED
HCYTH4,microgla,OLDHAM EXTENDED
RHBDF2,microgla,OLDHAM EXTENDED
PY2RY12,microgla,OLDHAM EXTENDED
PTAFR,microgla,OLDHAM EXTENDED
