MODULE	GENE
ad_down_filtered1_down_t2	EYA3
ad_down_filtered1_down_t2	FBXO28
ad_down_filtered1_down_t2	FBXW4
ad_down_filtered1_down_t2	FCHSD2
ad_down_filtered1_down_t2	FGD4
ad_down_filtered1_down_t2	FKBP5
ad_down_filtered1_down_t2	FLI1
ad_down_filtered1_down_t2	FMN1
ad_down_filtered1_down_t2	FOCAD
ad_down_filtered1_down_t2	FOXN3
ad_down_filtered1_down_t2	FOXO3
ad_down_filtered1_down_t2	FRMD4B
ad_down_filtered1_down_t2	GALNT2
ad_down_filtered1_down_t2	GPD2
ad_down_filtered1_down_t2	HLCS
ad_down_filtered1_down_t2	HMBOX1
ad_down_filtered1_down_t2	HRH2
ad_down_filtered1_down_t2	HS3ST4
ad_down_filtered1_down_t2	IKZF1
ad_down_filtered1_down_t2	IL18
ad_down_filtered1_down_t2	INO80D
ad_down_filtered1_down_t2	KCMF1
ad_down_filtered1_down_t2	KCNK13
ad_down_filtered1_down_t2	KCNQ1
ad_down_filtered1_down_t2	KPNB1
ad_down_filtered1_down_t2	LIMS1
ad_down_filtered1_down_t2	LINC00854
ad_down_filtered1_down_t2	LRRFIP1
ad_down_filtered1_down_t2	LYN
ad_down_filtered1_down_t2	LYRM4
ad_down_filtered1_down_t2	MACF1
ad_down_filtered1_down_t2	MAD1L1
ad_down_filtered1_down_t2	MAML3
ad_down_filtered1_down_t2	MAP3K5
ad_down_filtered1_down_t2	MARCH6
ad_down_filtered1_down_t2	MBD4
ad_down_filtered1_down_t2	MED13
ad_down_filtered1_down_t2	MED13L
ad_down_filtered1_down_t2	MERTK
ad_down_filtered1_down_t2	MFSD14C
ad_down_filtered1_down_t2	MIR646HG
ad_down_filtered1_down_t2	MITF
ad_down_filtered1_down_t2	MSH3
ad_down_filtered1_down_t2	MSRA
ad_down_filtered1_down_t2	MT-CYB
ad_down_filtered1_down_t2	MT-ND2
ad_down_filtered1_down_t2	MTSS1
ad_down_filtered1_down_t2	MYCBP2
ad_down_filtered1_down_t2	NAP1L1
ad_down_filtered1_down_t2	NCOA3
ad_down_filtered1_down_t2	NCOR1
ad_down_filtered1_down_t2	NDUFS1
ad_down_filtered1_down_t2	NEAT1
ad_down_filtered1_down_t2	NHSL1
ad_down_filtered1_down_t2	NPIPB5
ad_down_filtered1_down_t2	NRP1
ad_down_filtered1_down_t2	P3H2
ad_down_filtered1_down_t2	PABPN1
ad_down_filtered1_down_t2	PBX1
ad_down_filtered1_down_t2	PDE7A
ad_down_filtered1_down_t2	PDE8A
ad_down_filtered1_down_t2	PDK3
ad_down_filtered1_down_t2	PDZD2
ad_down_filtered1_down_t2	PIAS1
ad_down_filtered1_down_t2	PIK3R5
ad_down_filtered1_down_t2	PLCL2
ad_down_filtered1_down_t2	PLEKHA5
ad_down_filtered1_down_t2	POU2F1
ad_down_filtered1_down_t2	PREX1
ad_down_filtered1_down_t2	PRKCH
ad_down_filtered1_down_t2	PRKD3
ad_down_filtered1_down_t2	PRKN
ad_down_filtered1_down_t2	PSME4
ad_down_filtered1_down_t2	PTPN4
ad_down_filtered1_down_t2	PTPRA
ad_down_filtered1_down_t2	PTPRD
ad_down_filtered1_down_t2	PTPRJ
ad_down_filtered1_down_t2	PUM1
ad_down_filtered1_down_t2	PUM3
ad_down_filtered1_down_t2	RALGAPA2
ad_down_filtered1_down_t2	RAPGEF1
ad_down_filtered1_down_t2	RBM47
ad_down_filtered1_down_t2	RGL1
ad_down_filtered1_down_t2	RIN2
ad_down_filtered1_down_t2	RNF150
ad_down_filtered1_down_t2	RNF213
ad_down_filtered1_down_t2	RNF24
ad_down_filtered1_down_t2	RPL23
ad_down_filtered1_down_t2	RPL34
ad_down_filtered1_down_t2	RPL7
ad_down_filtered1_down_t2	RPS11
ad_down_filtered1_down_t2	RPS12
ad_down_filtered1_down_t2	RPS4X
ad_down_filtered1_down_t2	RPS6KC1
ad_down_filtered1_down_t2	RUNX1
ad_down_filtered1_down_t2	SAMD4A
ad_down_filtered1_down_t2	SCFD2
ad_down_filtered1_down_t2	SEC24D
ad_down_filtered1_down_t2	SH3PXD2B
ad_down_filtered1_down_t2	SKAP2
ad_down_filtered1_down_t2	SLC11A2
ad_down_filtered1_down_t2	SLC1A3
ad_down_filtered1_down_t2	SLC25A12
ad_down_filtered1_down_t2	SLC38A9
ad_down_filtered1_down_t2	SLC39A11
ad_down_filtered1_down_t2	SLCO2B1
ad_down_filtered1_down_t2	SOAT1
ad_down_filtered1_down_t2	SPRED1
ad_down_filtered1_down_t2	SRGAP1
ad_down_filtered1_down_t2	STXBP5L
ad_down_filtered1_down_t2	SUPT3H
ad_down_filtered1_down_t2	TAF3
ad_down_filtered1_down_t2	TANK
ad_down_filtered1_down_t2	TBC1D1
ad_down_filtered1_down_t2	TBC1D15
ad_down_filtered1_down_t2	TBC1D16
ad_down_filtered1_down_t2	TCF12
ad_down_filtered1_down_t2	TCF7L2
ad_down_filtered1_down_t2	TET3
ad_down_filtered1_down_t2	TGFBR2
ad_down_filtered1_down_t2	THRAP3
ad_down_filtered1_down_t2	THRB
ad_down_filtered1_down_t2	TLR1
ad_down_filtered1_down_t2	TMEM117
ad_down_filtered1_down_t2	TMEM135
ad_down_filtered1_down_t2	TMEM163
ad_down_filtered1_down_t2	TNFRSF1B
ad_down_filtered1_down_t2	TNPO3
ad_down_filtered1_down_t2	TRAPPC10
ad_down_filtered1_down_t2	TRIO
ad_down_filtered1_down_t2	UBA3
ad_down_filtered1_down_t2	UHRF1BP1L
ad_down_filtered1_down_t2	ULK4
ad_down_filtered1_down_t2	VMP1
ad_down_filtered1_down_t2	WDFY2
ad_down_filtered1_down_t2	WWOX
ad_down_filtered1_down_t2	XIST
ad_down_filtered1_down_t2	ZCCHC7
ad_down_filtered1_down_t2	ZFAND3
ad_down_filtered1_down_t2	ZNF710
ad_down_filtered1_down_t2	ZNF862
cntrol_5vs2_up_t2	MARCH1
cntrol_5vs2_up_t2	SEPTIN6
cntrol_5vs2_up_t2	SEPTIN8
cntrol_5vs2_up_t2	A2M
cntrol_5vs2_up_t2	A3GALT2
cntrol_5vs2_up_t2	AAK1
cntrol_5vs2_up_t2	ABAT
cntrol_5vs2_up_t2	ABCA5
cntrol_5vs2_up_t2	ABCB1
cntrol_5vs2_up_t2	ABCG1
cntrol_5vs2_up_t2	ABCG4
cntrol_5vs2_up_t2	ABHD12
cntrol_5vs2_up_t2	ABHD12B
cntrol_5vs2_up_t2	ABHD13
cntrol_5vs2_up_t2	ABHD2
cntrol_5vs2_up_t2	ABHD6
cntrol_5vs2_up_t2	ABI1
cntrol_5vs2_up_t2	ABI2
cntrol_5vs2_up_t2	ABLIM1
cntrol_5vs2_up_t2	ABTB2
cntrol_5vs2_up_t2	AC002064.1
cntrol_5vs2_up_t2	AC002375.1
cntrol_5vs2_up_t2	AC002985.1
cntrol_5vs2_up_t2	AC003986.3
cntrol_5vs2_up_t2	AC004485.1
cntrol_5vs2_up_t2	AC004805.1
cntrol_5vs2_up_t2	AC005009.2
cntrol_5vs2_up_t2	AC005162.3
cntrol_5vs2_up_t2	AC005258.1
cntrol_5vs2_up_t2	AC005410.2
cntrol_5vs2_up_t2	AC005522.1
cntrol_5vs2_up_t2	AC005580.1
cntrol_5vs2_up_t2	AC005670.2
cntrol_5vs2_up_t2	AC005697.1
cntrol_5vs2_up_t2	AC006017.1
cntrol_5vs2_up_t2	AC006030.1
cntrol_5vs2_up_t2	AC006059.1
cntrol_5vs2_up_t2	AC006296.1
cntrol_5vs2_up_t2	AC006480.2
cntrol_5vs2_up_t2	AC006547.2
cntrol_5vs2_up_t2	AC006581.2
cntrol_5vs2_up_t2	AC007114.1
cntrol_5vs2_up_t2	AC007220.1
cntrol_5vs2_up_t2	AC007325.4
cntrol_5vs2_up_t2	AC007388.1
cntrol_5vs2_up_t2	AC007823.1
cntrol_5vs2_up_t2	AC008124.1
cntrol_5vs2_up_t2	AC008164.1
cntrol_5vs2_up_t2	AC008574.1
cntrol_5vs2_up_t2	AC008591.1
cntrol_5vs2_up_t2	AC008629.1
cntrol_5vs2_up_t2	AC008705.1
cntrol_5vs2_up_t2	AC008741.2
cntrol_5vs2_up_t2	AC008771.1
cntrol_5vs2_up_t2	AC008946.1
cntrol_5vs2_up_t2	AC009041.2
cntrol_5vs2_up_t2	AC009113.1
cntrol_5vs2_up_t2	AC009119.1
cntrol_5vs2_up_t2	AC009133.3
cntrol_5vs2_up_t2	AC009227.1
cntrol_5vs2_up_t2	AC009318.1
cntrol_5vs2_up_t2	AC009403.1
cntrol_5vs2_up_t2	AC009414.2
cntrol_5vs2_up_t2	AC009652.2
cntrol_5vs2_up_t2	AC010099.4
cntrol_5vs2_up_t2	AC010149.1
cntrol_5vs2_up_t2	AC010197.1
cntrol_5vs2_up_t2	AC010422.6
cntrol_5vs2_up_t2	AC010522.1
cntrol_5vs2_up_t2	AC010542.2
cntrol_5vs2_up_t2	AC010609.1
cntrol_5vs2_up_t2	AC010616.1
cntrol_5vs2_up_t2	AC010632.1
cntrol_5vs2_up_t2	AC011124.2
cntrol_5vs2_up_t2	AC012074.1
cntrol_5vs2_up_t2	AC012213.1
cntrol_5vs2_up_t2	AC012358.3
cntrol_5vs2_up_t2	AC012414.5
cntrol_5vs2_up_t2	AC012464.1
cntrol_5vs2_up_t2	AC012574.1
cntrol_5vs2_up_t2	AC013643.2
cntrol_5vs2_up_t2	AC013652.1
cntrol_5vs2_up_t2	AC015468.3
cntrol_5vs2_up_t2	AC015574.1
cntrol_5vs2_up_t2	AC016687.2
cntrol_5vs2_up_t2	AC017074.1
cntrol_5vs2_up_t2	AC017101.1
cntrol_5vs2_up_t2	AC018523.2
cntrol_5vs2_up_t2	AC018816.1
cntrol_5vs2_up_t2	AC020637.1
