"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"IRF2_extended (28g)",0.316355381232164,0.339228622290576,0.317787519713789,0.314053455835451,93,57,86,44
"TFDP2 (22g)",0.267894027930246,0.245466581432787,0.243924734146702,0.239563613214097,119,119,126,119
"BDP1 (16g)",0.264709341447531,0.245620435392428,0.280184765420958,0.246394376685888,120,118,111,115
"CLOCK (11g)",0.235072850042919,0.219809587243904,0.222504084139295,0.213290018558769,130,130,131,129
"MLXIP (17g)",0.239686637550424,0.219813526797313,0.251372993747678,0.224241197858153,127,129,124,125
"ATF4 (32g)",0.288310345379004,0.253052349107517,0.303205272120852,0.243647456066768,108,114,97,117
"MGA (12g)",0.247065466857471,0.224876940952204,0.258739672145321,0.220342989514483,125,126,120,126
"MEF2D (11g)",0.235932846643971,0.224568791598103,0.233579753022,0.207516247797534,129,127,129,131
"NR2C2_extended (113g)",0.369558858462907,0.330397716598888,0.366139240159776,0.308438560423963,59,65,66,50
"TRIM69 (49g)",0.32209905519421,0.31240131592141,0.281765803047462,0.307405735194369,90,79,110,52
"JUND_extended (38g)",0.29452013545883,0.269044034704886,0.290299490757683,0.2630981588111,106,108,107,101
"KDM5B_extended (149g)",0.377583831339486,0.345130954905121,0.338822834648544,0.336596697113625,51,48,76,21
"SP3_extended (87g)",0.349711939051606,0.318554238948477,0.319825137226782,0.297889826245831,74,75,85,70
"PBX3_extended (39g)",0.329360413385772,0.29637840632869,0.306125622241292,0.283392292834658,87,90,94,83
"CHD1 (28g)",0.298653554793069,0.278476437122637,0.28556731158309,0.253996338647687,105,99,109,110
"ZNF529 (16g)",0.273239465684953,0.269256393694357,0.311813833543078,0.245492897830185,114,106,92,116
"NFIC_extended (15g)",0.262274514466768,0.243418497356716,0.262225657716864,0.231908506411347,122,121,118,124
"NFYC_extended (44g)",0.341667352143404,0.304315432566173,0.29517041477165,0.3090366551395,80,88,102,49
"KLF7_extended (14g)",0.281695251756266,0.234271252032089,0.312453560661008,0.263259534732065,112,124,91,100
"MIOS_extended (27g)",0.283232918622745,0.246968105162905,0.264762334654133,0.261813220422099,111,117,116,105
"MXD4_extended (11g)",0.221179224479959,0.204051824869797,0.223679396670158,0.209643861032044,131,131,130,130
"ATF6_extended (43g)",0.329221111298307,0.299869767949306,0.303005405417396,0.284602610666806,88,89,98,82
"MITF_extended (21g)",0.276725969536002,0.272593723223797,0.272800655311977,0.254111610984712,113,104,112,109
"ETV1_extended (34g)",0.357946899933704,0.319481057425797,0.330726125178707,0.298126791062963,68,73,79,69
