"","AD_oligodendrocyte","bvFTD_oligodendrocyte","Control_oligodendrocyte","PSP-S_oligodendrocyte","AD_oligodendrocyte_rank","bvFTD_oligodendrocyte_rank","Control_oligodendrocyte_rank","PSP-S_oligodendrocyte_rank"
"STAT3_extended (17g)",0.327992034880944,0.29540921937125,0.312924494667912,0.285425113582245,76,70,77,89
"KLF7_extended (12g)",0.290563866968264,0.253636782239617,0.285686609831324,0.268590478948891,94,94,92,94
"ZIC1_extended (13g)",0.290636141965496,0.268077331579099,0.291133149216547,0.294026357073478,93,90,89,84
"CREB1_extended (26g)",0.334962335658258,0.287542529576962,0.320932758857905,0.326615551780991,71,76,72,72
"PPARD_extended (11g)",0.304753576462075,0.266595207117282,0.295825761298243,0.281915257659966,88,91,85,90
"TFDP2_extended (72g)",0.391076705406621,0.339968884510432,0.36397855507518,0.367727957948963,40,47,58,45
"CUX1 (11g)",0.338851854081305,0.307720877338919,0.32149006428324,0.334605167679105,69,66,70,68
"IRF2_extended (14g)",0.30496241185972,0.266401819633543,0.293293896206187,0.278934926777734,86,92,88,92
"FOXJ3_extended (11g)",0.330771449304246,0.291369199213169,0.333650329890629,0.281351038842508,75,72,69,91
"ATF2_extended (21g)",0.326964185513641,0.284234450392695,0.320245248922468,0.301828689534903,77,79,73,82
"CNOT4 (10g)",0.290911488122759,0.270020097383732,0.295404938254758,0.273807307074609,92,87,86,93
"SETDB1_extended (63g)",0.39340376088736,0.34770515073231,0.377991567944788,0.368977679294183,32,36,46,42
"ZNF235 (37g)",0.374736111790318,0.328328941790107,0.353585902511601,0.338222499975207,57,57,62,62
"SP4_extended (24g)",0.349941102785673,0.325406419846192,0.353492994945731,0.324981359907316,66,61,63,75
"ZNF430 (14g)",0.29415170067157,0.268091710597769,0.286501886880756,0.285752954738083,91,89,90,88
"MEF2D_extended (12g)",0.325499283542453,0.285860416545786,0.350397079445823,0.326002595773912,79,78,64,73
"RBFOX2 (11g)",0.303378020910119,0.288687307996565,0.315061015760382,0.292788098628733,89,74,76,85
"NR2C1_extended (35g)",0.366169597504343,0.31409324335274,0.364938515342416,0.342965805906027,61,64,57,60
"BACH1_extended (33g)",0.323429528846507,0.277922401063721,0.297881147271899,0.315356742515316,80,81,83,79
"MGA_extended (10g)",0.267107772195913,0.242265650798032,0.2728222912488,0.262201668323834,95,95,94,95
