"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"ZNF76_extended (30g)",0.258021199958882,0.250280111806909,0.247662512828694,0.264704865593585,164,166,161,161
"ESRRG (17g)",0.30205997590435,0.266944497163099,0.291326234823468,0.293040979381746,145,156,135,148
"RFX3_extended (18g)",0.292350590802945,0.283751864270737,0.271866106091737,0.303063901244434,151,148,149,139
"ATF4 (34g)",0.268118041966378,0.244200946845799,0.285378523212376,0.258993368352301,162,167,139,164
"RELA (11g)",0.216514990369072,0.237900158728024,0.213579943128419,0.19909373062828,178,169,176,179
"TBP (12g)",0.242415879202042,0.216472371477964,0.235709861637505,0.233072558754484,169,178,169,172
"SP1 (42g)",0.307500166342406,0.297326002174664,0.304699633250869,0.309840586069495,139,137,118,137
"ZFY_extended (41g)",0.36428875902196,0.334990282687864,0.294837334898043,0.344419875801713,115,112,130,117
"BRCA1 (43g)",0.285430167909415,0.276381710857549,0.283149267115533,0.293773545616613,156,153,141,146
"GMEB1 (24g)",0.292714478202127,0.282355979275779,0.302114780849739,0.293313287979373,150,149,123,147
"NFIC (11g)",0.286483866622258,0.292502614247278,0.304333412850242,0.310994923514654,155,141,119,136
"NFYA_extended (24g)",0.338295492438139,0.273102828651407,0.284351231346662,0.300349599011988,127,155,140,143
"KLF3_extended (149g)",0.37458187019872,0.348123475056788,0.339908759128406,0.353444546040365,111,106,84,110
"ZNF266 (18g)",0.273458781812322,0.26613467545058,0.274347762083603,0.246771001743892,160,157,145,170
"IRF5_extended (12g)",0.307013764583069,0.297080845302506,0.218695733707272,0.28196093861151,140,138,173,156
"ZNF430 (12g)",0.287298074511979,0.279514464236342,0.238386587369871,0.272260100581571,153,152,168,160
"FUBP1 (14g)",0.247458096206675,0.232975083450746,0.272845370429392,0.248739318817865,167,171,148,169
"MGA_extended (13g)",0.287025301374012,0.290007408834267,0.25678942825931,0.252619289456606,154,144,157,166
"ZNF322 (11g)",0.22397015902212,0.222181071107563,0.224158548042431,0.227736889229744,176,175,171,174
"CEBPZ_extended (13g)",0.214349935943224,0.213006045799665,0.25416540957733,0.217746560397853,179,179,159,177
"FOXJ3_extended (23g)",0.24216306561564,0.235072838486722,0.245709120070442,0.249642200977388,170,170,165,168
"RFX2_extended (11g)",0.21741214604329,0.219245127058308,0.246856557990327,0.212316688639299,177,177,162,178
"MNT (21g)",0.26256685876022,0.254140088067834,0.256327009312058,0.260082624588121,163,163,158,163
"PATZ1_extended (12g)",0.24661429729149,0.226448872566981,0.244814345186292,0.250292297178753,168,173,167,167
"CEBPG_extended (20g)",0.279254046473968,0.281740852675548,0.248825296299526,0.281965052478411,158,150,160,155
"PSMD12_extended (24g)",0.256288393418206,0.261521779948499,0.27143258182694,0.283603065258082,165,161,150,153
"E2F4_extended (37g)",0.279006826750791,0.301046178259701,0.246562314397904,0.327252111529279,159,134,163,132
"ZBTB1 (15g)",0.252568380031858,0.263732464831134,0.206757560207191,0.278050492224447,166,159,178,158
"JUND (15g)",0.237043797925077,0.251938924704451,0.223845168047733,0.264242589182382,171,164,172,162
"MAFG_extended (20g)",0.294885430092953,0.335493232496607,0.19895720929578,0.330382238986406,148,111,179,127
"JUN (77g)",0.371694020022763,0.370080351051705,0.285681663875429,0.385663959538768,112,66,138,61
"NRF1 (290g)",0.405270338879265,0.370715456973727,0.340399197485342,0.390867019210941,82,59,83,24
"IRF2 (52g)",0.413880810515121,0.369669859563884,0.303165842119968,0.376230906617019,27,71,121,90
"BBX_extended (12g)",0.313047671525776,0.328171018291314,0.245943701984473,0.317397351416891,136,119,164,135
"MEF2D_extended (24g)",0.353856591597861,0.333726540048491,0.299580274610924,0.336917190275948,121,115,125,121
"NFE2L2_extended (15g)",0.383776809096292,0.354817069789644,0.313396901667295,0.351110633362083,105,101,112,113
"TCF4_extended (72g)",0.403585358089015,0.376043159697803,0.332112799170845,0.376698555646478,87,12,98,89
