"","Ex0","Ex1","Ex11","Ex12","Ex14","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9"
"insula-excitatory-0",6.24113167880904e-09,1.19473672163967e-10,4.26908699305489e-113,1.80890299966344e-15,3.17592731692415e-18,2.29242618462801e-06,5.38569376287782e-47,0.235985127954747,2.37265838376404e-16,0.439294375593834,1.54349056550304e-14,0.510628317687592,3.91074890355147e-25
"insula-excitatory-1",6.44638894214979e-16,8.53813211344899e-12,4.54795050775878e-24,1.34989993477582e-38,1.29193095626684e-08,1.08979234841441e-14,1.20832717039946e-84,0.235985127954747,2.02931126667225e-06,0.439294375593834,1.46008693304294e-07,0.510628317687592,1.69196924636905e-22
"insula-excitatory-10",6.24113167880904e-09,2.40024391776043e-22,3.51017265622154e-10,4.63027092047952e-126,2.35419094259838e-31,6.80793008648353e-13,1.7500175879293e-32,1,1.65157824264026e-07,0.104851903427625,0.0260976312742712,0.510628317687592,1.03078272524557e-57
"insula-excitatory-13",5.56013833667354e-06,2.97205310879031e-36,1.96410170896206e-08,2.73920811521529e-79,5.13201101500682e-110,1.78873187370725e-09,2.82249651754574e-11,0.235985127954747,8.37706148564043e-24,0.104851903427625,1.54349056550304e-14,0.510628317687592,1.36810017028e-68
"insula-excitatory-2",4.29497887067941e-114,0.33677565067505,0.00747219680192886,0.00258594150469897,0.00422707962238323,1.49352426650906e-35,0.000157563603416855,2.62763939861328e-13,0.591799219213603,0.00468090327066059,0.00507444268070617,0.032124969482438,0.003169455741658
"insula-excitatory-3",1,3.7289357573346e-18,2.78464592375403e-09,1.11299753189637e-20,5.97070728263675e-30,1.50527219451691e-16,7.91689036175383e-09,1,7.85569157235347e-77,0.104851903427625,3.02017768224022e-24,0.156322047030412,5.76233795659112e-08
"insula-excitatory-4",0.149184790319544,4.65111135199717e-111,1.96410170896206e-08,5.5276507296679e-37,3.71531056421543e-37,1.08979234841441e-14,1.42110825132062e-12,0.602936353756651,8.37706148564043e-24,0.439294375593834,1.64128221556572e-18,0.156322047030412,7.5798934177205e-28
"insula-excitatory-5",1.59103502708224e-91,0.115407749477019,0.0243112226392338,9.07863511757921e-06,0.000933382946824991,7.7879749196451e-38,1.61862396185718e-05,2.03478625242061e-08,0.220214361738508,0.275505181491282,0.105579211873202,0.032124969482438,2.10465710268391e-05
"insula-excitatory-6",2.16450446042252e-116,0.33677565067505,0.00747219680192886,0.0522607607368518,0.000933382946824991,1.49352426650906e-35,0.000157563603416855,2.62763939861328e-13,0.591799219213603,0.0147612850783537,0.00507444268070617,0.00482756296158385,0.133039991682741
"insula-excitatory-7",0.0435660367553047,1.67064026661251e-15,5.15723943409697e-15,6.6977032703553e-12,7.69778414458036e-26,1.81048336656922e-20,7.91689036175383e-09,0.235985127954747,6.30319952419863e-32,0.104851903427625,8.52052291490908e-79,1,4.44087957848225e-07
"insula-excitatory-8",6.36963405261635e-07,5.07365457001517e-33,4.33442130637993e-11,2.73920811521529e-79,3.29814201439386e-40,2.29242618462801e-06,4.00541423042705e-21,1,4.69199518317773e-11,0.104851903427625,1.29193095626684e-08,1,1.12204170743894e-125
"calcarine-excitatory-0",1,1.6934695876947e-41,1.14081517209605e-07,1.49876338989045e-23,4.75031747021012e-22,9.65585855043707e-27,1.04960593835085e-07,1,4.26595150323204e-11,0.159593976703895,2.46202042539022e-13,2.14255755178267e-08,6.09525828184363e-11
"calcarine-excitatory-1",1.60706119421458e-31,0.115407749477019,0.403723291864228,1.10691714186864e-06,0.000184437719577832,1.49352426650906e-35,0.00132315585945127,0.000271373895057231,0.220214361738508,0.812569609941273,0.317998608640773,5.74128024728757e-05,5.76233795659112e-08
"calcarine-excitatory-10",0.0214683552231951,8.38869893431962e-16,0.529296675969508,1.39150477454841e-07,1.67064026661251e-15,1.35877320802511e-30,0.00429359902572573,0.533572403152412,3.45092678922179e-12,0.780834046914897,5.58388308718006e-22,0.111564554034587,0.00457432055714782
"calcarine-excitatory-12",4.43810436569085e-05,2.18638127304891e-06,7.51242541383281e-54,6.6977032703553e-12,1.52406655987453e-11,6.80793008648353e-13,4.87638720345055e-10,0.602936353756651,2.02931126667225e-06,1.63721261913794e-05,0.000846046923972205,6.79418647724485e-11,6.73613950371388e-12
"calcarine-excitatory-13",2.12276769617784e-06,0.000198545665521719,0.01038525063585,0.000450899933192674,0.258867973775921,4.0538892073756e-30,0.339921183923547,0.0727944332859799,1.23770734926865e-07,0.690975896567565,7.08415122119821e-11,0.293201697913267,0.607495914391904
"calcarine-excitatory-14",0.00937200963890163,0.000145166663409182,0.0658500483391371,0.0024649425747539,0.00400802196381711,6.75952410643357e-29,0.0502723585320887,2.74258089242162e-06,1.90479682006522e-06,0.599081637805294,1.33873493648252e-07,4.71409866431436e-18,1
"calcarine-excitatory-16",0.00763254476917234,3.10279446937758e-21,8.3784313784885e-10,4.85059630782813e-35,1.88006984585263e-58,1.77794630381693e-07,0.000121988974514935,0.442862473690622,3.70855594946233e-08,1,4.87985243991167e-05,0.356547371918825,3.11572502976444e-17
"calcarine-excitatory-2",6.24113167880904e-09,2.18282659682336e-07,0.0683460730236322,8.41587851202692e-11,1.52406655987453e-11,1.38227409040396e-47,0.0513945108902192,0.235985127954747,4.69199518317773e-11,0.104851903427625,2.80500385337728e-13,0.510628317687592,0.133039991682741
"calcarine-excitatory-3",0.681335549158932,0.00586817667016817,2.96813150450089e-10,0.683315901994637,0.504697567980006,0.212194774497689,0.574842248606296,0.0637954935002092,0.219298691973973,7.06539854993363e-50,1,3.924270400227e-52,0.495706863281609
"calcarine-excitatory-4",0.681335549158932,0.00608394950779296,1,0.683315901994637,0.505911193760848,0.213538615854909,0.577333734333971,8.4886418380956e-11,1,6.40532311682065e-16,0.680411431752603,2.67170853262381e-109,0.496434221499163
"calcarine-excitatory-5",4.14149002846256e-05,5.04816666732025e-21,4.07632008509719e-06,1.24207131565151e-65,1.20938745305975e-24,6.29707947818432e-13,7.33223167547713e-09,1,0.0559347096502345,0.159593976703895,0.00080788391373696,0.15512556698992,2.00190626158987e-49
"calcarine-excitatory-7",0.000311663717533831,1.59268431465406e-19,2.41800786584308e-05,4.87197844098112e-22,3.52457469564368e-27,1.50527219451691e-16,0.00132315585945127,0.602936353756651,1.28719884305284e-13,0.812569609941273,1.64128221556572e-18,0.156322047030412,6.88722592873575e-09
"calcarine-excitatory-8",4.0538892073756e-30,0.11379020684179,0.792487990452743,1.08407704178067e-07,0.000882341710042312,3.46538132811246e-50,0.00872980908402856,2.74258089242162e-06,0.0559347096502345,0.812569609941273,0.00080788391373696,0.000560127188558171,1.94021747055212e-05
