"ct_subcluster","ext_module","fdr"
"calcarine-excitatory-13","Ex1",0.000198545665521719
"calcarine-excitatory-13","Ex11",0.01038525063585
"calcarine-excitatory-13","Ex12",0.000450899933192674
"calcarine-excitatory-13","Ex14",0.258867973775921
"calcarine-excitatory-13","Ex2",4.0538892073756e-30
"calcarine-excitatory-13","Ex3",0.339921183923547
"calcarine-excitatory-13","Ex4",0.0727944332859799
"calcarine-excitatory-13","Ex5",1.23770734926865e-07
"calcarine-excitatory-13","Ex6",0.690975896567565
"calcarine-excitatory-13","Ex7",7.08415122119821e-11
"calcarine-excitatory-13","Ex8",0.293201697913267
"calcarine-excitatory-13","Ex9",0.607495914391904
"calcarine-excitatory-14","Ex0",0.00937200963890163
"calcarine-excitatory-14","Ex1",0.000145166663409182
"calcarine-excitatory-14","Ex11",0.0658500483391371
"calcarine-excitatory-14","Ex12",0.0024649425747539
"calcarine-excitatory-14","Ex14",0.00400802196381711
"calcarine-excitatory-14","Ex2",6.75952410643357e-29
"calcarine-excitatory-14","Ex3",0.0502723585320887
"calcarine-excitatory-14","Ex4",2.74258089242162e-06
"calcarine-excitatory-14","Ex5",1.90479682006522e-06
"calcarine-excitatory-14","Ex6",0.599081637805294
"calcarine-excitatory-14","Ex7",1.33873493648252e-07
"calcarine-excitatory-14","Ex8",4.71409866431436e-18
"calcarine-excitatory-14","Ex9",1
"calcarine-excitatory-16","Ex0",0.00763254476917234
"calcarine-excitatory-16","Ex1",3.10279446937758e-21
"calcarine-excitatory-16","Ex11",8.3784313784885e-10
"calcarine-excitatory-16","Ex12",4.85059630782813e-35
"calcarine-excitatory-16","Ex14",1.88006984585263e-58
"calcarine-excitatory-16","Ex2",1.77794630381693e-07
"calcarine-excitatory-16","Ex3",0.000121988974514935
"calcarine-excitatory-16","Ex4",0.442862473690622
"calcarine-excitatory-16","Ex5",3.70855594946233e-08
"calcarine-excitatory-16","Ex6",1
"calcarine-excitatory-16","Ex7",4.87985243991167e-05
"calcarine-excitatory-16","Ex8",0.356547371918825
"calcarine-excitatory-16","Ex9",3.11572502976444e-17
"calcarine-excitatory-2","Ex0",6.24113167880904e-09
"calcarine-excitatory-2","Ex1",2.18282659682336e-07
"calcarine-excitatory-2","Ex11",0.0683460730236322
"calcarine-excitatory-2","Ex12",8.41587851202692e-11
"calcarine-excitatory-2","Ex14",1.52406655987453e-11
"calcarine-excitatory-2","Ex2",1.38227409040396e-47
"calcarine-excitatory-2","Ex3",0.0513945108902192
"calcarine-excitatory-2","Ex4",0.235985127954747
"calcarine-excitatory-2","Ex5",4.69199518317773e-11
"calcarine-excitatory-2","Ex6",0.104851903427625
"calcarine-excitatory-2","Ex7",2.80500385337728e-13
"calcarine-excitatory-2","Ex8",0.510628317687592
"calcarine-excitatory-2","Ex9",0.133039991682741
"calcarine-excitatory-3","Ex0",0.681335549158932
"calcarine-excitatory-3","Ex1",0.00586817667016817
