region,cluster_cell_type,genes
insula,oligodendrocyte,MYRF
insula,oligodendrocyte,NCOA1
insula,oligodendrocyte,EFHD1
insula,oligodendrocyte,FTO
insula,oligodendrocyte,PPM1H
insula,oligodendrocyte,ZFAND3
insula,oligodendrocyte,NSMCE2
insula,oligodendrocyte,SLC9A9
insula,oligodendrocyte,ZNF704
insula,oligodendrocyte,CLASP1
insula,oligodendrocyte,CNTNAP2
insula,oligodendrocyte,MICAL3
insula,oligodendrocyte,DMD
insula,oligodendrocyte,KDM6A
insula,oligodendrocyte,PALM2
insula,oligodendrocyte,MBD5
insula,oligodendrocyte,NDRG1
insula,oligodendrocyte,STARD13
insula,oligodendrocyte,PHLDB1
insula,oligodendrocyte,RBPJ
insula,oligodendrocyte,BIRC6
insula,oligodendrocyte,SUN2
insula,oligodendrocyte,ZNF652
insula,oligodendrocyte,AATK
insula,oligodendrocyte,NIPBL
insula,oligodendrocyte,CCP110
insula,oligodendrocyte,ZHX2
insula,oligodendrocyte,TACC1
insula,oligodendrocyte,TTYH2
insula,oligodendrocyte,PLA2G16
insula,oligodendrocyte,GSN
insula,oligodendrocyte,KIF13B
insula,oligodendrocyte,CPQ
insula,oligodendrocyte,SGIP1
insula,oligodendrocyte,POGZ
insula,oligodendrocyte,KMT2E
insula,oligodendrocyte,PIEZO2
insula,oligodendrocyte,SEMA6A
insula,oligodendrocyte,SLC12A2
insula,oligodendrocyte,TNKS
insula,oligodendrocyte,RETREG1
insula,oligodendrocyte,SEMA4D
insula,oligodendrocyte,PPM1B
insula,oligodendrocyte,LRRC1
insula,oligodendrocyte,UBE4B
insula,oligodendrocyte,RUFY3
insula,oligodendrocyte,LINC00609
insula,oligodendrocyte,KANK1
insula,oligodendrocyte,TNRC6A
insula,oligodendrocyte,ADD3
insula,oligodendrocyte,P2RX7
insula,oligodendrocyte,NLK
insula,oligodendrocyte,PREX1
insula,oligodendrocyte,MOB3B
insula,oligodendrocyte,EPS15
insula,oligodendrocyte,USP32
insula,oligodendrocyte,ZBTB16
insula,oligodendrocyte,VRK2
insula,oligodendrocyte,SCD
insula,oligodendrocyte,FKBP5
insula,oligodendrocyte,PPP2R2A
insula,oligodendrocyte,SPAG9
insula,oligodendrocyte,ITCH
insula,oligodendrocyte,TRA2A
insula,oligodendrocyte,MED13L
insula,oligodendrocyte,CCNY
insula,oligodendrocyte,FCHSD2
insula,oligodendrocyte,ATP10B
insula,oligodendrocyte,NKTR
insula,oligodendrocyte,KAT2B
insula,oligodendrocyte,LINC01608
insula,oligodendrocyte,IQGAP1
insula,oligodendrocyte,C1QTNF3-AMACR
insula,oligodendrocyte,NF1
insula,oligodendrocyte,LUC7L3
insula,oligodendrocyte,FAM172A
insula,oligodendrocyte,CNDP1
insula,oligodendrocyte,ATRX
insula,oligodendrocyte,PTPRJ
insula,oligodendrocyte,ACYP2
insula,oligodendrocyte,FTH1
insula,oligodendrocyte,L3MBTL4
insula,oligodendrocyte,MAP1B
insula,oligodendrocyte,RTN3
insula,oligodendrocyte,RICTOR
insula,oligodendrocyte,HIBCH
insula,oligodendrocyte,MYO5A
insula,oligodendrocyte,EXOC4
insula,oligodendrocyte,CD22
insula,oligodendrocyte,ANKRD17
insula,oligodendrocyte,YPEL2
insula,oligodendrocyte,PRKN
insula,oligodendrocyte,MPDZ
insula,oligodendrocyte,ACER3
insula,oligodendrocyte,HP1BP3
insula,oligodendrocyte,NAV1
insula,oligodendrocyte,RDX
insula,oligodendrocyte,SRCIN1
insula,oligodendrocyte,FOLH1
insula,oligodendrocyte,UBR3
insula,oligodendrocyte,MAPRE2
insula,oligodendrocyte,SDCCAG8
insula,oligodendrocyte,MAGI1
insula,oligodendrocyte,ANKRD28
insula,oligodendrocyte,ZMYM2
insula,oligodendrocyte,MYO1E
insula,oligodendrocyte,LIFR
insula,oligodendrocyte,ADGRL3
insula,oligodendrocyte,PTMA
insula,oligodendrocyte,SELENOP
insula,oligodendrocyte,DUBR
insula,oligodendrocyte,ARHGEF7
insula,oligodendrocyte,CRYAB
insula,oligodendrocyte,MON2
insula,oligodendrocyte,AC245297.3
insula,oligodendrocyte,IGSF11
insula,oligodendrocyte,RABGAP1L
insula,oligodendrocyte,CPEB2
insula,oligodendrocyte,CEP170
insula,oligodendrocyte,CHD9
insula,oligodendrocyte,CTTNBP2
insula,oligodendrocyte,PCGF5
insula,oligodendrocyte,INSR
insula,oligodendrocyte,NFIX
insula,oligodendrocyte,NOVA1
insula,oligodendrocyte,ZNF644
insula,oligodendrocyte,SSBP2
insula,oligodendrocyte,KIF6
insula,oligodendrocyte,ZCCHC24
insula,oligodendrocyte,MXI1
insula,oligodendrocyte,SLC5A11
insula,oligodendrocyte,VPS13C
insula,oligodendrocyte,WDPCP
insula,oligodendrocyte,PPP1R16B
insula,oligodendrocyte,PPP1R9A
insula,oligodendrocyte,LIPA
insula,oligodendrocyte,KIAA0930
insula,oligodendrocyte,STK39
insula,oligodendrocyte,ADD1
insula,oligodendrocyte,NT5DC1
insula,oligodendrocyte,FAM13C
insula,oligodendrocyte,PPP6R3
insula,oligodendrocyte,RAP1GDS1
insula,oligodendrocyte,KIDINS220
insula,oligodendrocyte,PEAK1
insula,oligodendrocyte,SH3TC2
insula,oligodendrocyte,ZNF292
insula,oligodendrocyte,DYM
insula,oligodendrocyte,TOM1L2
insula,oligodendrocyte,SLC25A13
insula,oligodendrocyte,WDFY2
insula,oligodendrocyte,KAZN
insula,oligodendrocyte,ADAM10
insula,oligodendrocyte,HNRNPA2B1
insula,oligodendrocyte,TBL1XR1
insula,oligodendrocyte,PHYHIPL
insula,oligodendrocyte,LRP2
insula,oligodendrocyte,BACH2
insula,oligodendrocyte,SCAPER
insula,oligodendrocyte,NECAB1
insula,oligodendrocyte,ADARB2
insula,oligodendrocyte,ANKRD44
insula,oligodendrocyte,LCOR
insula,oligodendrocyte,TAOK3
insula,oligodendrocyte,MAL
insula,oligodendrocyte,CALM1
insula,oligodendrocyte,CAMTA1
insula,oligodendrocyte,PACS2
insula,oligodendrocyte,GTDC1
insula,oligodendrocyte,RBM26
insula,oligodendrocyte,MBOAT2
insula,oligodendrocyte,ZFYVE16
insula,oligodendrocyte,TMEM161B-AS1
insula,oligodendrocyte,OSBPL9
insula,oligodendrocyte,CNOT2
insula,oligodendrocyte,PAFAH1B1
insula,oligodendrocyte,BBS9
insula,oligodendrocyte,PLLP
insula,oligodendrocyte,ARGLU1
insula,oligodendrocyte,EPB41L2
insula,oligodendrocyte,AGPAT4
insula,oligodendrocyte,FAM124A
insula,oligodendrocyte,PCM1
insula,oligodendrocyte,FAR1
insula,oligodendrocyte,GAS7
insula,oligodendrocyte,CHD7
insula,oligodendrocyte,FOXN2
insula,oligodendrocyte,ATP11A
insula,oligodendrocyte,PPP1R21
insula,oligodendrocyte,PSME4
insula,oligodendrocyte,LINC00320
insula,oligodendrocyte,FYN
insula,oligodendrocyte,TTC3
insula,oligodendrocyte,CLIP2
insula,oligodendrocyte,RASGEF1B
insula,oligodendrocyte,TAOK1
insula,oligodendrocyte,TARSL2
insula,oligodendrocyte,PPFIA2
insula,oligodendrocyte,ATXN2
insula,oligodendrocyte,JPX
insula,oligodendrocyte,DENND5A
insula,oligodendrocyte,TUBA1A
insula,oligodendrocyte,CDK17
insula,oligodendrocyte,PIK3R1
insula,oligodendrocyte,CDK13
insula,oligodendrocyte,GPATCH8
insula,oligodendrocyte,SLC22A15
insula,oligodendrocyte,STAG1
insula,oligodendrocyte,UVRAG
insula,oligodendrocyte,SCARB2
insula,oligodendrocyte,TPPP
insula,oligodendrocyte,ITFG1
insula,oligodendrocyte,LRRFIP2
insula,oligodendrocyte,GOLGA4
insula,oligodendrocyte,WDR7
insula,oligodendrocyte,MARK3
insula,oligodendrocyte,CDH19
insula,oligodendrocyte,ELAVL3
insula,oligodendrocyte,KIAA1324L
insula,oligodendrocyte,AKAP9
insula,oligodendrocyte,CSNK1A1
insula,oligodendrocyte,SERINC5
insula,oligodendrocyte,KIF5C
insula,oligodendrocyte,FAM13B
insula,oligodendrocyte,JAKMIP2
insula,oligodendrocyte,SIPA1L1
insula,oligodendrocyte,MEIS2
insula,oligodendrocyte,PHF21A
insula,oligodendrocyte,RAB30
insula,oligodendrocyte,PTPN13
insula,oligodendrocyte,CLIP4
insula,oligodendrocyte,PSAP
insula,oligodendrocyte,NPC1
insula,oligodendrocyte,OTUD7B
insula,oligodendrocyte,ITGB8
insula,oligodendrocyte,RAB40B
insula,oligodendrocyte,SPATA6
insula,oligodendrocyte,AC118549.1
insula,oligodendrocyte,OSBP2
insula,oligodendrocyte,VPS13B
insula,oligodendrocyte,SPPL3
insula,oligodendrocyte,HS3ST5
insula,oligodendrocyte,ARHGAP5
insula,oligodendrocyte,SNX29
insula,oligodendrocyte,SRSF11
insula,oligodendrocyte,HMGB1
insula,oligodendrocyte,CLIC4
insula,oligodendrocyte,ACTB
insula,oligodendrocyte,GPR37
insula,oligodendrocyte,GLDN
insula,oligodendrocyte,MAG
insula,oligodendrocyte,MEGF9
insula,oligodendrocyte,ARHGAP23
insula,oligodendrocyte,HERC1
insula,oligodendrocyte,NFE2L2
insula,oligodendrocyte,GNG7
insula,oligodendrocyte,LMCD1-AS1
insula,oligodendrocyte,NFIB
insula,oligodendrocyte,HNRNPU
insula,oligodendrocyte,KLHL24
insula,oligodendrocyte,DNAJB2
insula,oligodendrocyte,PUM2
insula,oligodendrocyte,HTRA1
insula,oligodendrocyte,CPEB4
insula,oligodendrocyte,PBX1
insula,oligodendrocyte,DNER
insula,oligodendrocyte,AC009063.2
insula,oligodendrocyte,PKD2
insula,oligodendrocyte,ASTN2
insula,oligodendrocyte,RBM6
insula,oligodendrocyte,SENP6
insula,oligodendrocyte,MGAT5
insula,oligodendrocyte,ZNF609
insula,oligodendrocyte,PDE1A
insula,oligodendrocyte,SYT11
insula,oligodendrocyte,PRR5L
insula,oligodendrocyte,ZFHX4
insula,oligodendrocyte,KIAA1958
insula,oligodendrocyte,CALD1
insula,oligodendrocyte,C12orf76
insula,oligodendrocyte,MYCBP2
insula,oligodendrocyte,WAC
insula,oligodendrocyte,NKX6-2
insula,oligodendrocyte,CHKA
insula,oligodendrocyte,BTBD3
insula,oligodendrocyte,FNIP2
insula,oligodendrocyte,CAMK2N1
insula,oligodendrocyte,KIAA1109
insula,oligodendrocyte,CRADD
insula,oligodendrocyte,NCOR1
insula,oligodendrocyte,NSD3
insula,oligodendrocyte,RPS6KA5
insula,oligodendrocyte,SON
insula,oligodendrocyte,SESTD1
insula,oligodendrocyte,ZCCHC7
insula,oligodendrocyte,TRPC4AP
insula,oligodendrocyte,AP3B1
insula,oligodendrocyte,ZNF365
insula,oligodendrocyte,PDE4DIP
insula,oligodendrocyte,UBE2R2
insula,oligodendrocyte,ATM
insula,oligodendrocyte,GPBP1
insula,oligodendrocyte,SPTLC2
insula,oligodendrocyte,SIK2
insula,oligodendrocyte,AGO3
insula,oligodendrocyte,WDR20
insula,oligodendrocyte,LINC00486
insula,oligodendrocyte,SYNDIG1
insula,oligodendrocyte,BRWD1
insula,oligodendrocyte,ZMYND8
insula,oligodendrocyte,RGL1
insula,oligodendrocyte,TECPR2
insula,oligodendrocyte,HEPACAM
insula,oligodendrocyte,VTI1A
insula,oligodendrocyte,SOBP
insula,oligodendrocyte,TMEM63A
insula,oligodendrocyte,UBE2D3
insula,oligodendrocyte,TANC1
insula,oligodendrocyte,HSP90AB1
insula,oligodendrocyte,GLG1
insula,oligodendrocyte,CDKAL1
insula,oligodendrocyte,NUCKS1
insula,oligodendrocyte,EVA1C
insula,oligodendrocyte,CPOX
insula,oligodendrocyte,LINGO1
insula,oligodendrocyte,VPS35L
insula,oligodendrocyte,PRRC2C
insula,oligodendrocyte,CTNNA1
insula,oligodendrocyte,PRNP
insula,oligodendrocyte,HBS1L
insula,oligodendrocyte,SETD5
insula,oligodendrocyte,ZKSCAN1
insula,oligodendrocyte,DENND4A
insula,oligodendrocyte,ATE1
insula,oligodendrocyte,AHI1
insula,oligodendrocyte,FTL
insula,oligodendrocyte,ANKRD11
insula,oligodendrocyte,CDK6
insula,oligodendrocyte,ZNF708
insula,oligodendrocyte,KMT2A
insula,oligodendrocyte,TRIP12
insula,oligodendrocyte,PDS5B
insula,oligodendrocyte,DDX5
insula,oligodendrocyte,PLEKHA1
insula,oligodendrocyte,ZFR
insula,oligodendrocyte,ANKH
insula,oligodendrocyte,SLC1A3
insula,oligodendrocyte,GAREM1
insula,oligodendrocyte,KIZ
insula,oligodendrocyte,KCNQ1OT1
insula,oligodendrocyte,DTNB
insula,oligodendrocyte,ITGA2
insula,oligodendrocyte,IQCJ-SCHIP1
insula,oligodendrocyte,KCNIP4
insula,oligodendrocyte,ZNF532
insula,oligodendrocyte,INO80D
insula,oligodendrocyte,SREBF2
insula,oligodendrocyte,SBF2
insula,oligodendrocyte,SNX9
insula,oligodendrocyte,LPP
insula,oligodendrocyte,RASGRF2
insula,oligodendrocyte,AMD1
insula,oligodendrocyte,FXR1
insula,oligodendrocyte,LRCH3
insula,oligodendrocyte,IGF1R
insula,oligodendrocyte,FAM171A1
insula,oligodendrocyte,ASPA
insula,oligodendrocyte,RAP1A
insula,oligodendrocyte,MAP2K4
insula,oligodendrocyte,CSRP1
insula,oligodendrocyte,HERC4
insula,oligodendrocyte,PHF3
insula,oligodendrocyte,AFDN
insula,oligodendrocyte,ACTN4
insula,oligodendrocyte,TANC2
insula,oligodendrocyte,NAIP
insula,oligodendrocyte,TTC17
insula,oligodendrocyte,GRIA2
insula,oligodendrocyte,HDAC4
insula,oligodendrocyte,NCOA2
insula,oligodendrocyte,MARCH6
insula,oligodendrocyte,BBS2
insula,oligodendrocyte,CASC4
insula,oligodendrocyte,PRKCA
insula,oligodendrocyte,CEP350
insula,oligodendrocyte,NBEA
insula,oligodendrocyte,PEBP1
insula,oligodendrocyte,CBFA2T2
insula,oligodendrocyte,ARID2
insula,oligodendrocyte,C20orf194
insula,oligodendrocyte,TRPS1
insula,oligodendrocyte,FBXO11
insula,oligodendrocyte,KIAA0232
insula,oligodendrocyte,ACACA
insula,oligodendrocyte,TAPT1-AS1
insula,oligodendrocyte,PCCA
insula,oligodendrocyte,NFAT5
insula,oligodendrocyte,GARNL3
insula,oligodendrocyte,RBM39
insula,oligodendrocyte,MEF2A
insula,oligodendrocyte,TMCC1
insula,oligodendrocyte,PDE4D
insula,oligodendrocyte,MED13
insula,oligodendrocyte,PDS5A
insula,oligodendrocyte,RCAN2
insula,oligodendrocyte,KLHL4
insula,oligodendrocyte,FGF1
insula,oligodendrocyte,GLUL
insula,oligodendrocyte,BRAF
insula,oligodendrocyte,CYTH1
insula,oligodendrocyte,MAPK10
insula,oligodendrocyte,WIPF1
insula,oligodendrocyte,MAP4
insula,oligodendrocyte,ZNF451
insula,oligodendrocyte,ECPAS
insula,oligodendrocyte,ANKRD36C
insula,oligodendrocyte,UBR5
insula,oligodendrocyte,CUX1
insula,oligodendrocyte,AGO2
insula,oligodendrocyte,FEZ1
insula,oligodendrocyte,LRBA
insula,oligodendrocyte,PWWP2A
insula,oligodendrocyte,STK3
insula,oligodendrocyte,CPM
insula,oligodendrocyte,AC016597.1
insula,oligodendrocyte,KAT6A
insula,oligodendrocyte,KTN1
insula,oligodendrocyte,SRRM2
insula,oligodendrocyte,FAXDC2
insula,oligodendrocyte,EVI5
insula,oligodendrocyte,WDR70
insula,oligodendrocyte,KIAA2026
insula,oligodendrocyte,MYO9B
insula,oligodendrocyte,GIGYF2
insula,oligodendrocyte,DYSF
insula,oligodendrocyte,FOXO3
insula,oligodendrocyte,SAMD4B
insula,oligodendrocyte,MAP4K3
insula,oligodendrocyte,NSD1
insula,oligodendrocyte,KIF2A
insula,oligodendrocyte,KANSL1L
insula,oligodendrocyte,FIGN
insula,oligodendrocyte,PAN3
insula,oligodendrocyte,TRIM9
insula,oligodendrocyte,IKZF2
insula,oligodendrocyte,TENT2
insula,oligodendrocyte,MSI2
insula,oligodendrocyte,CSMD1
insula,oligodendrocyte,B3GAT1
insula,oligodendrocyte,DIXDC1
insula,oligodendrocyte,CRTC3
insula,oligodendrocyte,DYRK1A
insula,oligodendrocyte,AMBRA1
insula,oligodendrocyte,TUT4
insula,oligodendrocyte,RHOU
insula,oligodendrocyte,PMP22
insula,oligodendrocyte,NAALADL2
insula,oligodendrocyte,TMTC4
insula,oligodendrocyte,BCL2
insula,oligodendrocyte,MUC20-OT1
insula,oligodendrocyte,ERMN
insula,oligodendrocyte,PHC3
insula,oligodendrocyte,ANKRD36
insula,oligodendrocyte,FAM49B
insula,oligodendrocyte,MIB1
insula,oligodendrocyte,ITSN2
insula,oligodendrocyte,HNRNPDL
insula,oligodendrocyte,COPA
insula,oligodendrocyte,APPBP2
insula,oligodendrocyte,NR3C1
insula,oligodendrocyte,CASTOR3
insula,oligodendrocyte,HERC2
insula,oligodendrocyte,ABHD17B
insula,oligodendrocyte,DIS3L2
insula,oligodendrocyte,DMXL1
insula,oligodendrocyte,FUT9
insula,oligodendrocyte,RFX3
insula,oligodendrocyte,TNIK
insula,oligodendrocyte,ZNF280D
insula,oligodendrocyte,PHF14
insula,oligodendrocyte,LSS
insula,oligodendrocyte,RAPGEF2
insula,oligodendrocyte,CPB2-AS1
insula,oligodendrocyte,PPP3CA
insula,oligodendrocyte,YWHAQ
insula,oligodendrocyte,CARNS1
insula,oligodendrocyte,STXBP6
insula,oligodendrocyte,TFEB
insula,oligodendrocyte,IMMP2L
insula,oligodendrocyte,RTN1
insula,oligodendrocyte,AC096564.1
insula,oligodendrocyte,ZC3H13
insula,oligodendrocyte,JUND
insula,oligodendrocyte,GNB1
insula,oligodendrocyte,GALNT13
insula,oligodendrocyte,POU2F1
insula,oligodendrocyte,SELENOW
insula,oligodendrocyte,FAM69A
insula,oligodendrocyte,SIRT2
insula,oligodendrocyte,CDC42SE2
insula,oligodendrocyte,NEGR1
insula,oligodendrocyte,PPP2R3A
insula,oligodendrocyte,INVS
insula,oligodendrocyte,PLPPR1
insula,oligodendrocyte,DENND1A
insula,oligodendrocyte,UBL3
insula,oligodendrocyte,ANAPC5
insula,oligodendrocyte,KIAA1755
insula,oligodendrocyte,NDRG2
insula,oligodendrocyte,ZNF608
insula,oligodendrocyte,TMEM87A
insula,oligodendrocyte,CA2
insula,oligodendrocyte,PHACTR4
insula,oligodendrocyte,BOK
insula,oligodendrocyte,TBC1D12
insula,oligodendrocyte,DPP6
insula,oligodendrocyte,SLC38A2
insula,oligodendrocyte,FAM102A
insula,oligodendrocyte,SETD2
insula,oligodendrocyte,MLLT10
insula,oligodendrocyte,PPP4R2
insula,oligodendrocyte,SLF2
insula,oligodendrocyte,STOX2
insula,oligodendrocyte,GATAD2B
insula,oligodendrocyte,PIK3C2B
insula,oligodendrocyte,FER
insula,oligodendrocyte,SEPT8
insula,oligodendrocyte,HAPLN2
insula,oligodendrocyte,LINC00882
insula,oligodendrocyte,LINC01630
insula,oligodendrocyte,OLMALINC
insula,oligodendrocyte,CCSER2
insula,oligodendrocyte,PTPRA
insula,oligodendrocyte,SNX1
insula,oligodendrocyte,CECR2
insula,oligodendrocyte,NXPE3
insula,oligodendrocyte,TMBIM6
insula,oligodendrocyte,ENAH
insula,oligodendrocyte,XPO1
insula,oligodendrocyte,LRRC4C
insula,oligodendrocyte,RASGRP3
insula,oligodendrocyte,MAT2A
insula,oligodendrocyte,CHD6
insula,oligodendrocyte,BNIP3L
insula,oligodendrocyte,NDE1
insula,oligodendrocyte,ATP9B
insula,oligodendrocyte,NAPEPLD
insula,oligodendrocyte,DYNC1LI2
insula,oligodendrocyte,TTLL11
insula,oligodendrocyte,RALGPS1
insula,oligodendrocyte,CREBBP
insula,oligodendrocyte,AC124312.1
insula,oligodendrocyte,FANCL
insula,oligodendrocyte,CKB
insula,oligodendrocyte,TRAPPC9
insula,oligodendrocyte,SHPRH
insula,oligodendrocyte,DEPTOR
insula,oligodendrocyte,RABGAP1
insula,oligodendrocyte,SNX30
insula,oligodendrocyte,TAF15
insula,oligodendrocyte,RASA1
insula,oligodendrocyte,VAPA
insula,oligodendrocyte,FP671120.1
insula,oligodendrocyte,LRRC8B
insula,oligodendrocyte,AC106869.1
insula,oligodendrocyte,RIF1
insula,oligodendrocyte,RGCC
insula,oligodendrocyte,RAD51B
insula,oligodendrocyte,PAPOLA
insula,oligodendrocyte,SEMA3B
insula,oligodendrocyte,HSD17B4
insula,oligodendrocyte,ATXN10
insula,oligodendrocyte,PKN2
insula,oligodendrocyte,TRAPPC10
insula,oligodendrocyte,SLC20A2
insula,oligodendrocyte,STRN
insula,oligodendrocyte,COG5
insula,oligodendrocyte,CUEDC1
insula,oligodendrocyte,RSRP1
insula,oligodendrocyte,DMTF1
insula,oligodendrocyte,RAB10
insula,oligodendrocyte,MTDH
insula,oligodendrocyte,NAP1L4
insula,oligodendrocyte,SPART
insula,oligodendrocyte,ANKRD10
insula,oligodendrocyte,HIP1R
insula,oligodendrocyte,CORO2B
insula,oligodendrocyte,PCNX1
insula,oligodendrocyte,ARID1A
insula,oligodendrocyte,ZNF706
insula,oligodendrocyte,CAMKMT
insula,oligodendrocyte,POLK
insula,oligodendrocyte,ATF7IP
insula,oligodendrocyte,MIRLET7BHG
insula,oligodendrocyte,NEK7
insula,oligodendrocyte,NRDC
insula,oligodendrocyte,CCDC91
insula,oligodendrocyte,AL359091.1
insula,oligodendrocyte,XIST
insula,oligodendrocyte,SCAF11
insula,oligodendrocyte,ZHX3
insula,oligodendrocyte,PIAS1
insula,oligodendrocyte,CBFB
insula,oligodendrocyte,SNRNP70
insula,oligodendrocyte,LDB3
insula,oligodendrocyte,NCOA6
insula,oligodendrocyte,ATG7
insula,oligodendrocyte,FAM120B
insula,oligodendrocyte,KIAA1328
insula,oligodendrocyte,RHOBTB3
insula,oligodendrocyte,RBM33
insula,oligodendrocyte,ATP9A
insula,oligodendrocyte,TRIM44
insula,oligodendrocyte,GSK3B
insula,oligodendrocyte,NAV2
insula,oligodendrocyte,USP33
insula,oligodendrocyte,TOGARAM1
insula,oligodendrocyte,PTGES3
insula,oligodendrocyte,KCTD8
insula,oligodendrocyte,ENOSF1
insula,oligodendrocyte,ARIH1
insula,oligodendrocyte,USP31
insula,oligodendrocyte,PDE7A
insula,oligodendrocyte,UGGT2
insula,oligodendrocyte,CLU
insula,oligodendrocyte,PUM1
insula,oligodendrocyte,SLC26A3
insula,oligodendrocyte,UBR1
insula,oligodendrocyte,TIAM1
insula,oligodendrocyte,DPYSL5
insula,oligodendrocyte,COP1
insula,oligodendrocyte,EHMT1
insula,oligodendrocyte,ITPKB
insula,oligodendrocyte,AAK1
insula,oligodendrocyte,ZBTB44
insula,oligodendrocyte,MDM4
insula,oligodendrocyte,ANAPC16
insula,oligodendrocyte,SFPQ
insula,oligodendrocyte,GRIA4
insula,oligodendrocyte,UBR2
insula,oligodendrocyte,DYNC1I1
insula,oligodendrocyte,CAMSAP2
insula,oligodendrocyte,BCL2L1
insula,oligodendrocyte,BICRAL
insula,oligodendrocyte,ZNF207
insula,oligodendrocyte,MAP2K5
insula,oligodendrocyte,MFAP3L
insula,oligodendrocyte,TSC22D4
insula,oligodendrocyte,SEPT4
insula,oligodendrocyte,ZNF148
insula,oligodendrocyte,CDK5RAP2
insula,oligodendrocyte,BICD1
insula,oligodendrocyte,PSPC1
insula,oligodendrocyte,FOXJ3
insula,oligodendrocyte,CDKL1
insula,oligodendrocyte,MYO9A
insula,oligodendrocyte,NBAS
insula,oligodendrocyte,R3HDM1
insula,oligodendrocyte,REEP3
insula,oligodendrocyte,SUMF1
insula,oligodendrocyte,LAMA2
insula,oligodendrocyte,SUPT3H
insula,oligodendrocyte,ATL1
insula,oligodendrocyte,RABEP1
insula,oligodendrocyte,ENOX2
insula,oligodendrocyte,PHACTR1
insula,oligodendrocyte,SMURF1
insula,oligodendrocyte,RSF1
insula,oligodendrocyte,ERC1
insula,oligodendrocyte,BTRC
insula,oligodendrocyte,OPALIN
insula,oligodendrocyte,STXBP3
insula,oligodendrocyte,CD47
insula,oligodendrocyte,BOD1L1
insula,oligodendrocyte,LDLRAD4
insula,oligodendrocyte,ZBED5
insula,oligodendrocyte,ADCY5
insula,oligodendrocyte,SLTM
insula,oligodendrocyte,HNRNPC
insula,oligodendrocyte,MPHOSPH8
insula,oligodendrocyte,VMP1
insula,oligodendrocyte,DYNC1I2
insula,oligodendrocyte,AFF4
insula,oligodendrocyte,LONP2
insula,oligodendrocyte,MPRIP
insula,oligodendrocyte,FNDC3A
insula,oligodendrocyte,INF2
insula,oligodendrocyte,STAG2
insula,oligodendrocyte,ERCC6L2
insula,oligodendrocyte,HECTD4
insula,oligodendrocyte,SPEN
insula,oligodendrocyte,RALGDS
insula,oligodendrocyte,RB1CC1
insula,oligodendrocyte,AUH
insula,oligodendrocyte,PTPRS
insula,oligodendrocyte,MIGA1
insula,oligodendrocyte,RPS6KC1
insula,oligodendrocyte,SH3KBP1
insula,oligodendrocyte,KIAA1468
insula,oligodendrocyte,MITF
insula,oligodendrocyte,CAMK2D
insula,oligodendrocyte,PPA2
insula,oligodendrocyte,LINC01170
insula,oligodendrocyte,SYT9
insula,oligodendrocyte,JAZF1
insula,oligodendrocyte,SF1
insula,oligodendrocyte,MEIS1
insula,oligodendrocyte,RHOBTB1
insula,oligodendrocyte,RUFY2
insula,oligodendrocyte,GLTP
insula,oligodendrocyte,NTRK2
insula,oligodendrocyte,ARHGEF2
insula,oligodendrocyte,BTBD7
insula,oligodendrocyte,LCORL
insula,oligodendrocyte,TMEM131
insula,oligodendrocyte,NUFIP2
insula,oligodendrocyte,PALM2-AKAP2
insula,oligodendrocyte,SOS1
insula,oligodendrocyte,KLHL2
insula,oligodendrocyte,REPS2
insula,oligodendrocyte,ITM2B
insula,oligodendrocyte,LSM14A
insula,oligodendrocyte,RPS6KA2
insula,oligodendrocyte,NAV3
insula,oligodendrocyte,IWS1
insula,oligodendrocyte,NEK1
insula,oligodendrocyte,EPC1
insula,oligodendrocyte,AC090502.1
insula,oligodendrocyte,KNOP1
insula,oligodendrocyte,SEM1
insula,oligodendrocyte,VPS13D
insula,oligodendrocyte,NIPAL3
insula,oligodendrocyte,TIMP2
insula,oligodendrocyte,FOXO1
insula,oligodendrocyte,WWP1
insula,oligodendrocyte,ITPK1
insula,oligodendrocyte,DUSP16
insula,oligodendrocyte,SRSF5
insula,oligodendrocyte,SPIN1
insula,oligodendrocyte,MTSS1
insula,oligodendrocyte,SH3RF1
insula,oligodendrocyte,ZBTB38
insula,oligodendrocyte,DYNC1H1
insula,oligodendrocyte,TTC37
insula,oligodendrocyte,CPEB3
insula,oligodendrocyte,PLPP1
insula,oligodendrocyte,ZDHHC9
insula,oligodendrocyte,RAB2A
insula,oligodendrocyte,SRRM1
insula,oligodendrocyte,FBXL17
insula,oligodendrocyte,EIF1
insula,oligodendrocyte,RBM25
insula,oligodendrocyte,DIP2A
insula,oligodendrocyte,PRKCE
insula,oligodendrocyte,ADNP
insula,oligodendrocyte,NRF1
insula,oligodendrocyte,MTMR2
insula,oligodendrocyte,APBB1
insula,oligodendrocyte,SERPINI1
insula,oligodendrocyte,ZDHHC14
insula,oligodendrocyte,KDM2A
insula,oligodendrocyte,LRP4
insula,oligodendrocyte,FDFT1
insula,oligodendrocyte,MAP3K2
insula,oligodendrocyte,ARID5B
insula,oligodendrocyte,ROCK1
insula,oligodendrocyte,SF3B1
insula,oligodendrocyte,PBRM1
insula,oligodendrocyte,MPP5
insula,oligodendrocyte,SPG11
insula,oligodendrocyte,XRN1
insula,oligodendrocyte,XRCC5
insula,oligodendrocyte,PI4KA
insula,oligodendrocyte,RBM5
insula,oligodendrocyte,AC006148.1
insula,oligodendrocyte,FBXL5
