region,cluster_cell_type,genes
calcarine,astrocyte,CSMD1
calcarine,astrocyte,AC245297.3
calcarine,astrocyte,ARHGAP21
calcarine,astrocyte,NEO1
calcarine,astrocyte,SLC39A11
calcarine,astrocyte,DLGAP1
calcarine,astrocyte,TBC1D5
calcarine,astrocyte,BCAS3
calcarine,astrocyte,MBNL1
calcarine,astrocyte,DKK3
calcarine,astrocyte,LHFPL6
calcarine,astrocyte,BCKDHB
calcarine,astrocyte,ZNF98
calcarine,astrocyte,SPTBN1
calcarine,astrocyte,TTC28
calcarine,astrocyte,MYO9A
calcarine,astrocyte,NF1
calcarine,astrocyte,RUFY3
calcarine,astrocyte,RERE
calcarine,astrocyte,LINC00461
calcarine,astrocyte,HSPB1
calcarine,astrocyte,ITM2B
calcarine,astrocyte,CHL1
calcarine,astrocyte,SBF2
calcarine,astrocyte,EMX2
calcarine,astrocyte,FUT8
calcarine,astrocyte,DENND4A
calcarine,astrocyte,WSB1
calcarine,astrocyte,SNAP25
calcarine,astrocyte,SPOCK1
calcarine,astrocyte,KANK1
calcarine,astrocyte,DOCK7
calcarine,astrocyte,EXOC6B
calcarine,astrocyte,DAAM1
calcarine,astrocyte,KCNIP4
calcarine,astrocyte,PTPRG
calcarine,astrocyte,SYT1
calcarine,astrocyte,EHBP1
calcarine,astrocyte,MAGI1
calcarine,astrocyte,NKTR
calcarine,astrocyte,RGS7
calcarine,astrocyte,SOX6
calcarine,astrocyte,HEPACAM
calcarine,astrocyte,IMMP2L
calcarine,astrocyte,LIMCH1
calcarine,astrocyte,MTSS1L
calcarine,astrocyte,EIF4G3
calcarine,astrocyte,FOXP1
calcarine,astrocyte,ALCAM
calcarine,astrocyte,WDFY3
calcarine,astrocyte,TCF7L2
calcarine,astrocyte,USP34
calcarine,astrocyte,PPP1R9A
calcarine,astrocyte,PRKD1
calcarine,astrocyte,ZNF638
calcarine,astrocyte,CCNH
calcarine,astrocyte,CRB1
calcarine,astrocyte,ASAP1
calcarine,astrocyte,MYO6
calcarine,astrocyte,ANKRD17
calcarine,astrocyte,ITSN1
calcarine,astrocyte,DDAH1
calcarine,astrocyte,ZFP36L1
calcarine,astrocyte,BCL2
calcarine,astrocyte,ASH1L
calcarine,astrocyte,F3
calcarine,astrocyte,AKAP9
calcarine,astrocyte,DANT2
calcarine,astrocyte,UBC
calcarine,astrocyte,TTC3
calcarine,astrocyte,ARHGAP32
calcarine,astrocyte,UBE2E2
calcarine,astrocyte,SLC7A11
calcarine,astrocyte,HNRNPA2B1
calcarine,astrocyte,TSC22D1
calcarine,astrocyte,HSPA1A
calcarine,astrocyte,NAALADL2
calcarine,astrocyte,TSC22D4
calcarine,astrocyte,GAREM1
calcarine,astrocyte,GLUD1
calcarine,astrocyte,MBNL2
calcarine,astrocyte,FP671120.1
calcarine,astrocyte,EXOC4
calcarine,astrocyte,ATXN1
calcarine,astrocyte,PBX1
calcarine,astrocyte,PDZRN3
calcarine,astrocyte,TTYH1
calcarine,astrocyte,KIAA1109
calcarine,astrocyte,CLASP1
calcarine,astrocyte,PTPN13
calcarine,astrocyte,ATRX
calcarine,astrocyte,PCM1
calcarine,astrocyte,PHACTR3
calcarine,astrocyte,SCAPER
calcarine,astrocyte,KALRN
calcarine,astrocyte,FAF1
calcarine,astrocyte,PKM
calcarine,astrocyte,CEP350
calcarine,astrocyte,ESRRG
calcarine,astrocyte,SLC9A9
calcarine,astrocyte,FGFR2
calcarine,astrocyte,DIP2C
calcarine,astrocyte,ITFG1
calcarine,astrocyte,PTMA
calcarine,astrocyte,HSP90AB1
calcarine,astrocyte,DYNLL1
calcarine,astrocyte,BPTF
calcarine,astrocyte,NHSL1
calcarine,astrocyte,MT-ND5
calcarine,astrocyte,IGF1R
calcarine,astrocyte,ITM2C
calcarine,astrocyte,ARHGEF12
calcarine,astrocyte,SERPINE2
calcarine,astrocyte,GNA14
calcarine,astrocyte,AGBL4
calcarine,astrocyte,MEF2C
calcarine,astrocyte,PEBP1
calcarine,astrocyte,RGS20
calcarine,astrocyte,CD81
calcarine,astrocyte,PLEKHA5
calcarine,astrocyte,UBR5
calcarine,astrocyte,TMSB4X
calcarine,astrocyte,PTCHD1-AS
calcarine,astrocyte,OTUD7A
calcarine,astrocyte,RNF19A
calcarine,astrocyte,RBM6
calcarine,astrocyte,SIPA1L1
calcarine,astrocyte,CABLES1
calcarine,astrocyte,BRINP3
calcarine,astrocyte,NCOA2
calcarine,astrocyte,STARD13
calcarine,astrocyte,AGT
calcarine,astrocyte,KIAA0930
calcarine,astrocyte,CDH2
calcarine,astrocyte,DLG1
calcarine,astrocyte,DPP6
calcarine,astrocyte,SLC25A18
calcarine,astrocyte,CSNK1A1
calcarine,astrocyte,PHIP
calcarine,astrocyte,PHYHIPL
calcarine,astrocyte,BICD1
calcarine,astrocyte,ARGLU1
calcarine,astrocyte,KTN1
calcarine,astrocyte,RBFOX2
calcarine,astrocyte,GPR75-ASB3
calcarine,astrocyte,RTN3
calcarine,astrocyte,FIGN
calcarine,astrocyte,GABRA2
calcarine,astrocyte,NT5C2
calcarine,astrocyte,NAT8L
calcarine,astrocyte,ALDH1L1
calcarine,astrocyte,ZNF292
calcarine,astrocyte,MAP7
calcarine,astrocyte,BRAF
calcarine,astrocyte,MARK3
calcarine,astrocyte,PLXNB1
calcarine,astrocyte,TMBIM6
calcarine,astrocyte,OGA
calcarine,astrocyte,OSBPL6
calcarine,astrocyte,AQP4-AS1
calcarine,astrocyte,POGZ
calcarine,astrocyte,REPS1
calcarine,astrocyte,SPON1
calcarine,astrocyte,VPS13C
calcarine,astrocyte,PPP1R12A
calcarine,astrocyte,ACADVL
calcarine,astrocyte,NIPBL
calcarine,astrocyte,MAP1B
calcarine,astrocyte,PHACTR1
calcarine,astrocyte,LGI1
calcarine,astrocyte,CACHD1
calcarine,astrocyte,TRIM2
calcarine,astrocyte,MSRA
calcarine,astrocyte,SETD5
calcarine,astrocyte,BSG
calcarine,astrocyte,PTPRK
calcarine,astrocyte,FTO
calcarine,astrocyte,CEP85L
calcarine,astrocyte,SMARCA2
calcarine,astrocyte,NOVA1
calcarine,astrocyte,NCOR1
